subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MP:0003631	nervous system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0004523	abnormal nervous system	semapv:ManualMappingCuration
MP:0001186	pigmentation phenotype	semapv:crossSpeciesExactMatch	UPHENO:0050008	abnormal pigmentation	semapv:ManualMappingCuration
MP:0005367	renal/urinary system phenotype	semapv:crossSpeciesExactMatch	UPHENO:3000004	renal/urinary system phenotype	semapv:ManualMappingCuration
MP:0005389	reproductive system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0003055	reproductive system phenotype	semapv:ManualMappingCuration
MP:0005388	respiratory system phenotype	semapv:crossSpeciesExactMatch	UPHENO:0004536	abnormal respiratory system	semapv:ManualMappingCuration
MP:0005390	skeleton phenotype	semapv:crossSpeciesExactMatch	UPHENO:0002964	abnormal skeletal system	semapv:ManualMappingCuration
MP:0005394	taste/olfaction phenotype	semapv:crossSpeciesExactMatch	UPHENO:3000007	taste/olfaction phenotype	semapv:ManualMappingCuration
MP:0005391	vision/eye phenotype	semapv:crossSpeciesExactMatch	UPHENO:3000007	vision/eye phenotype	semapv:ManualMappingCuration
MP:0004733	abnormal thoracic cavity morphology	semapv:crossSpeciesExactMatch	UPHENO:0075866	abnormal thoracic cavity	semapv:ManualMappingCuration
HP:0009124	Abnormality of adipose tissue	semapv:crossSpeciesExactMatch	UPHENO:0076797	abnormal adipose tissue morphology	semapv:ManualMappingCuration
HP:0000708	Behavioral abnormality	semapv:crossSpeciesExactMatch	UPHENO:0049622	abnormal behavior	semapv:ManualMappingCuration
HP:0001626	Abnormality of the cardiovascular system	semapv:crossSpeciesExactMatch	UPHENO:0004507	abnormal cardiovascular system	semapv:ManualMappingCuration
HP:0025354	Abnormal cellular phenotype	semapv:crossSpeciesExactMatch	UPHENO:0086172	abnormal cell	semapv:ManualMappingCuration
HP:0000152	Abnormality of head or neck	semapv:crossSpeciesExactMatch	UPHENO:3000000	craniofacial/craniocervical phenotype	semapv:ManualMappingCuration
HP:0025031	Abnormality of the digestive system	semapv:crossSpeciesExactMatch	UPHENO:0002833	abnormal digestive system	semapv:ManualMappingCuration
HP:0001197	Abnormality of prenatal development or birth	semapv:crossSpeciesExactMatch	UPHENO:3000001	embryonic development/birth phenotype	semapv:ManualMappingCuration
HP:0000818	Abnormality of the endocrine system	semapv:crossSpeciesExactMatch	UPHENO:0003116	abnormal endocrine system	semapv:ManualMappingCuration
HP:0001507	Growth abnormality	semapv:crossSpeciesExactMatch	UPHENO:0049874	abnormal growth	semapv:ManualMappingCuration
HP:0000598	Abnormality of the ear	semapv:crossSpeciesExactMatch	UPHENO:0002903	abnormal ear	semapv:ManualMappingCuration
HP:0001871	Abnormality of blood and blood-forming tissues	semapv:crossSpeciesExactMatch	UPHENO:0004459	abnormal hematopoietic system	semapv:ManualMappingCuration
HP:0001939	Abnormality of metabolism/homeostasis	semapv:crossSpeciesExactMatch	UPHENO:0049904	abnormal homeostatic process	semapv:ManualMappingCuration
HP:0002715	Abnormality of the immune system	semapv:crossSpeciesExactMatch	UPHENO:0002948	abnormal immune system	semapv:ManualMappingCuration
HP:0001574	Abnormality of the integument	semapv:crossSpeciesExactMatch	UPHENO:0002635	abnormal integument	semapv:ManualMappingCuration
HP:0040064	Abnormality of limbs	semapv:crossSpeciesExactMatch	UPHENO:0002830	abnormal limb	semapv:ManualMappingCuration
HP:0001392	Abnormality of the liver	semapv:crossSpeciesExactMatch	UPHENO:0003405	abnormal liver	semapv:ManualMappingCuration
HP:0040006	Mortality/Aging	semapv:crossSpeciesExactMatch	UPHENO:3000002	mortality/aging phenotype	semapv:ManualMappingCuration
HP:0033127	Abnormality of the musculoskeletal system	semapv:crossSpeciesExactMatch	UPHENO:0002816	abnormal musculature	semapv:ManualMappingCuration
HP:0002664	Neoplasm	semapv:crossSpeciesExactMatch	UPHENO:3000003	neoplasm (phenotype)	semapv:ManualMappingCuration
HP:0000707	Abnormality of the nervous system	semapv:crossSpeciesExactMatch	UPHENO:0004523	abnormal nervous system	semapv:ManualMappingCuration
HP:0001000	Abnormality of skin pigmentation	semapv:crossSpeciesExactMatch	UPHENO:0050008	abnormal pigmentation	semapv:ManualMappingCuration
HP:0000079	Abnormality of the urinary system	semapv:crossSpeciesExactMatch	UPHENO:3000004	renal/urinary system phenotype	semapv:ManualMappingCuration
HP:0000078	Abnormality of the genital system	semapv:crossSpeciesExactMatch	UPHENO:0002642	abnormal genitourinary system	semapv:ManualMappingCuration
HP:0002086	Abnormality of the respiratory system	semapv:crossSpeciesExactMatch	UPHENO:0004536	abnormal respiratory system	semapv:ManualMappingCuration
HP:0000924	Abnormality of the skeletal system	semapv:crossSpeciesExactMatch	UPHENO:0002964	abnormal skeletal system	semapv:ManualMappingCuration
HP:0000223	Abnormality of taste sensation	semapv:crossSpeciesExactMatch	UPHENO:0078688	abnormal sensory perception of taste	semapv:ManualMappingCuration
HP:0004408	Abnormality of the sense of smell	semapv:crossSpeciesExactMatch	UPHENO:0078689	abnormal sensory perception of smell	semapv:ManualMappingCuration
HP:0000478	Abnormality of the eye	semapv:crossSpeciesBroadMatch	UPHENO:3000007	vision/eye phenotype	semapv:ManualMappingCuration
HP:0000504	Abnormality of vision	semapv:crossSpeciesBroadMatch	UPHENO:3000007	vision/eye phenotype	semapv:ManualMappingCuration
HP:0000769	Abnormality of the breast	semapv:crossSpeciesExactMatch	UPHENO:0003013	abnormal breast	semapv:ManualMappingCuration
HP:0045027	Abnormality of the thoracic cavity	semapv:crossSpeciesExactMatch	UPHENO:0075866	abnormal thoracic cavity	semapv:ManualMappingCuration
HP:0001608	Abnormality of the voice	semapv:crossSpeciesBroadMatch	UPHENO:0075901	abnormal vocal organ	semapv:ManualMappingCuration
HP:0025142	Constitutional symptom	semapv:crossSpeciesBroadMatch	UPHENO:0001002	phenotype	semapv:ManualMappingCuration
APO:0000082	osmotic stress resistance	semapv:crossSpeciesExactMatch	UPHENO:7000000	osmotic stress resistance; resistance to osmotic stress	semapv:LogicalReasoning
APO:0000083	oxidative stress resistance	semapv:crossSpeciesExactMatch	UPHENO:7000001	oxidative stress resistance; resistance to oxidative stress	semapv:LogicalReasoning
APO:0000097	auxotrophy	semapv:crossSpeciesExactMatch	UPHENO:7000002	auxotrophy	semapv:LogicalReasoning
APO:0000148	cold sensitivity	semapv:crossSpeciesExactMatch	UPHENO:7000003	cold intolerance; cold sensitivity	semapv:LogicalReasoning
APO:0000152	haploinsufficient	semapv:crossSpeciesExactMatch	UPHENO:7000004	haploinsufficient	semapv:LogicalReasoning
APO:0000276	prion formation	semapv:crossSpeciesExactMatch	UPHENO:7000005	prion formation	semapv:LogicalReasoning
APO:0000330	haploproficient	semapv:crossSpeciesExactMatch	UPHENO:7000006	haploproficient	semapv:LogicalReasoning
APO:0000336	aneuploidy	semapv:crossSpeciesExactMatch	UPHENO:7000007	aneuploidy	semapv:LogicalReasoning
APO:0000337	polyploidy	semapv:crossSpeciesExactMatch	UPHENO:7000008	polyploidy	semapv:LogicalReasoning
DDPHENO:0000002	aberrant standing slug morphology	semapv:crossSpeciesExactMatch	UPHENO:0084761	manual digit morphology in the manus phenotype	semapv:LogicalReasoning
DDPHENO:0000142	wild type	semapv:crossSpeciesExactMatch	UPHENO:7000009	no abnormal phenotype detected; wild type	semapv:LogicalReasoning
DDPHENO:0000163	aberrant spore morphology	semapv:crossSpeciesExactMatch	UPHENO:7000010	aberrant spore morphology; spore morphology	semapv:LogicalReasoning
DDPHENO:0000207	increased standing slug length	semapv:crossSpeciesExactMatch	UPHENO:0072353	increased length of the manual digit	semapv:LogicalReasoning
DDPHENO:0000535	decreased glycogen level	semapv:crossSpeciesExactMatch	UPHENO:0066757	decreased level of glycogen	semapv:LogicalReasoning
DDPHENO:0000536	increased glutamate level	semapv:crossSpeciesExactMatch	UPHENO:0048732	increased level of glutamic acid	semapv:LogicalReasoning
DDPHENO:0001376	increased glycogen level	semapv:crossSpeciesExactMatch	UPHENO:0048725	increased level of glycogen	semapv:LogicalReasoning
FBcv:0000351	lethal	semapv:crossSpeciesExactMatch	UPHENO:7000011	lethal	semapv:LogicalReasoning
FBcv:0000355	abnormal eye color	semapv:crossSpeciesExactMatch	UPHENO:7000012	eye color	semapv:LogicalReasoning
FBcv:0000358	decreased body size	semapv:crossSpeciesExactMatch	UPHENO:0069254	decreased size of the multicellular organism	semapv:LogicalReasoning
FBcv:0000364	sterile	semapv:crossSpeciesExactMatch	UPHENO:7000013	infertility; sterile	semapv:LogicalReasoning
FBcv:0000365	semi-sterile	semapv:crossSpeciesExactMatch	UPHENO:7000014	reduced fertility; semi-sterile	semapv:LogicalReasoning
FBcv:0000366	female sterile	semapv:crossSpeciesExactMatch	UPHENO:7000015	female infertility; female sterile	semapv:LogicalReasoning
FBcv:0000370	male sterile	semapv:crossSpeciesExactMatch	UPHENO:7000016	male infertility; male sterile	semapv:LogicalReasoning
FBcv:0000384	abnormal aging	semapv:crossSpeciesExactMatch	UPHENO:7000017	aging; aging variant	semapv:LogicalReasoning
FBcv:0000421	abnormal touch response	semapv:crossSpeciesExactMatch	UPHENO:7000018	mechanosensation variant; touch response	semapv:LogicalReasoning
FBcv:0000430	abnormal cell polarity	semapv:crossSpeciesExactMatch	UPHENO:0049950	establishment or maintenance of cell polarity phenotype	semapv:LogicalReasoning
FBcv:0000665	abnormal body size	semapv:crossSpeciesExactMatch	UPHENO:0075159	size of multicellular organism phenotype	semapv:LogicalReasoning
FBcv:0000709	abnormal cell number	semapv:crossSpeciesExactMatch	UPHENO:7000019	cell number; cell number variant	semapv:LogicalReasoning
FBcv:0002033	lethal - all die during embryonic stage	semapv:crossSpeciesExactMatch	UPHENO:7000020	embryonic lethal; lethal - all die during embryonic stage	semapv:LogicalReasoning
FBcv:0007504	abnormal body weight	semapv:crossSpeciesExactMatch	UPHENO:0010795	multicellular organism mass phenotype	semapv:LogicalReasoning
FBcv:0007505	increased body weight	semapv:crossSpeciesExactMatch	UPHENO:0008312	increased multicellular organism mass	semapv:LogicalReasoning
FBcv:0007506	decreased body weight	semapv:crossSpeciesExactMatch	UPHENO:0082794	Decreased multicellular organism mass	semapv:LogicalReasoning
FBcv:0007531	decreased efficacy of learning	semapv:crossSpeciesExactMatch	UPHENO:7000021	decreased efficacy of learning; impaired learning	semapv:LogicalReasoning
FYPO:0000002	cell phenotype	semapv:crossSpeciesExactMatch	UPHENO:0086172	cell phenotype	semapv:LogicalReasoning
FYPO:0000005	abnormal cell morphology	semapv:crossSpeciesExactMatch	UPHENO:7000022	cell morphology; cell morphology variant	semapv:LogicalReasoning
FYPO:0000010	abolished cell-substrate adhesion	semapv:crossSpeciesExactMatch	UPHENO:0083334	absent cell-substrate adhesion	semapv:LogicalReasoning
FYPO:0000011	abnormal cell cycle	semapv:crossSpeciesExactMatch	UPHENO:0049952	cell cycle phenotype	semapv:LogicalReasoning
FYPO:0000029	abnormal chromosome segregation	semapv:crossSpeciesExactMatch	UPHENO:0049866	chromosome segregation phenotype	semapv:LogicalReasoning
FYPO:0000032	abnormal cytokinesis	semapv:crossSpeciesExactMatch	UPHENO:0050076	cytokinesis phenotype	semapv:LogicalReasoning
FYPO:0000039	growth auxotrophic for lysine	semapv:crossSpeciesExactMatch	UPHENO:0081906	absent lysine biosynthetic process in cell	semapv:LogicalReasoning
FYPO:0000049	inviable cell	semapv:crossSpeciesExactMatch	UPHENO:7000023	inviable cell	semapv:LogicalReasoning
FYPO:0000052	abnormal meiotic cell cycle	semapv:crossSpeciesExactMatch	UPHENO:0049929	meiotic cell cycle process phenotype	semapv:LogicalReasoning
FYPO:0000054	abnormal microtubule cytoskeleton organization	semapv:crossSpeciesExactMatch	UPHENO:0049808	microtubule cytoskeleton organization phenotype	semapv:LogicalReasoning
FYPO:0000059	abnormal mitotic cell cycle	semapv:crossSpeciesExactMatch	UPHENO:0050313	mitotic cell cycle phenotype	semapv:LogicalReasoning
FYPO:0000063	abnormal DNA recombination	semapv:crossSpeciesExactMatch	UPHENO:0049639	DNA recombination phenotype	semapv:LogicalReasoning
FYPO:0000067	resistance to brefeldin A	semapv:crossSpeciesExactMatch	UPHENO:0077019	increased resistance of organism to brefeldin A	semapv:LogicalReasoning
FYPO:0000069	resistance to thiabendazole	semapv:crossSpeciesExactMatch	UPHENO:0077182	increased resistance of organism to thiabendazole	semapv:LogicalReasoning
FYPO:0000070	resistance to amphotericin B	semapv:crossSpeciesExactMatch	UPHENO:0077140	increased resistance of organism to amphotericin B	semapv:LogicalReasoning
FYPO:0000071	resistance to aureobasidin A	semapv:crossSpeciesExactMatch	UPHENO:0077121	increased resistance of organism to aureobasidin A	semapv:LogicalReasoning
FYPO:0000072	resistance to benomyl	semapv:crossSpeciesExactMatch	UPHENO:0077137	increased resistance of organism to benomyl	semapv:LogicalReasoning
FYPO:0000076	resistance to nystatin	semapv:crossSpeciesExactMatch	UPHENO:0077075	increased resistance of organism to nystatin	semapv:LogicalReasoning
FYPO:0000077	resistance to rapamycin	semapv:crossSpeciesExactMatch	UPHENO:0077070	increased resistance of organism to sirolimus	semapv:LogicalReasoning
FYPO:0000078	abnormal cellular respiration	semapv:crossSpeciesExactMatch	UPHENO:7000024	cellular respiration	semapv:LogicalReasoning
FYPO:0000079	sensitive to caspofungin	semapv:crossSpeciesExactMatch	UPHENO:0076528	decreased resistance of organism to caspofungin	semapv:LogicalReasoning
FYPO:0000085	sensitive to camptothecin	semapv:crossSpeciesExactMatch	UPHENO:0076354	decreased resistance of organism to camptothecin	semapv:LogicalReasoning
FYPO:0000086	sensitive to tacrolimus	semapv:crossSpeciesExactMatch	UPHENO:7000025	sensitive to tacrolimus	semapv:LogicalReasoning
FYPO:0000087	sensitive to hydrogen peroxide	semapv:crossSpeciesExactMatch	UPHENO:0076502	decreased resistance of organism to hydrogen peroxide	semapv:LogicalReasoning
FYPO:0000091	sensitive to thiabendazole	semapv:crossSpeciesExactMatch	UPHENO:0076539	decreased resistance of organism to thiabendazole	semapv:LogicalReasoning
FYPO:0000094	sensitive to benomyl	semapv:crossSpeciesExactMatch	UPHENO:0076515	decreased resistance of organism to benomyl	semapv:LogicalReasoning
FYPO:0000095	sensitive to bleomycin	semapv:crossSpeciesExactMatch	UPHENO:0076435	decreased resistance of organism to bleomycin	semapv:LogicalReasoning
FYPO:0000100	sensitive to chloramphenicol	semapv:crossSpeciesExactMatch	UPHENO:0076503	decreased resistance of organism to chloramphenicol	semapv:LogicalReasoning
FYPO:0000103	sensitive to copper	semapv:crossSpeciesExactMatch	UPHENO:0076336	decreased resistance of organism to copper atom	semapv:LogicalReasoning
FYPO:0000104	sensitive to cycloheximide	semapv:crossSpeciesExactMatch	UPHENO:0076533	decreased resistance of organism to cycloheximide	semapv:LogicalReasoning
FYPO:0000106	sensitive to hygromycin B	semapv:crossSpeciesExactMatch	UPHENO:0076526	decreased resistance of organism to hygromycin B	semapv:LogicalReasoning
FYPO:0000107	sensitive to latrunculin A	semapv:crossSpeciesExactMatch	UPHENO:0076357	decreased resistance of organism to latrunculin A	semapv:LogicalReasoning
FYPO:0000111	sensitive to rapamycin	semapv:crossSpeciesExactMatch	UPHENO:0076491	decreased resistance of organism to sirolimus	semapv:LogicalReasoning
FYPO:0000112	sensitive to sorbitol	semapv:crossSpeciesExactMatch	UPHENO:0081751	decreased resistance of organism to glucitol	semapv:LogicalReasoning
FYPO:0000114	cellular process phenotype	semapv:crossSpeciesExactMatch	UPHENO:0050121	cellular process phenotype	semapv:LogicalReasoning
FYPO:0000119	abnormal spindle assembly	semapv:crossSpeciesExactMatch	UPHENO:0051009	spindle assembly phenotype	semapv:LogicalReasoning
FYPO:0000120	abnormal spindle	semapv:crossSpeciesExactMatch	UPHENO:0049959	spindle organization phenotype	semapv:LogicalReasoning
FYPO:0000121	abnormal sporulation	semapv:crossSpeciesExactMatch	UPHENO:0083215	sporulation phenotype	semapv:LogicalReasoning
FYPO:0000128	auxotrophy	semapv:crossSpeciesExactMatch	UPHENO:7000002	auxotrophy	semapv:LogicalReasoning
FYPO:0000131	abnormal mitotic spindle elongation	semapv:crossSpeciesExactMatch	UPHENO:0083169	mitotic spindle elongation phenotype	semapv:LogicalReasoning
FYPO:0000138	localization phenotype	semapv:crossSpeciesExactMatch	UPHENO:0049927	localization phenotype	semapv:LogicalReasoning
FYPO:0000140	cellular metabolism phenotype	semapv:crossSpeciesExactMatch	UPHENO:0050113	cellular metabolic process phenotype	semapv:LogicalReasoning
FYPO:0000141	abnormal mitotic sister chromatid segregation	semapv:crossSpeciesExactMatch	UPHENO:0049680	mitotic sister chromatid segregation phenotype	semapv:LogicalReasoning
FYPO:0000149	transport phenotype	semapv:crossSpeciesExactMatch	UPHENO:0049724	transport phenotype	semapv:LogicalReasoning
FYPO:0000151	abnormal meiotic chromosome segregation	semapv:crossSpeciesExactMatch	UPHENO:0049621	meiotic chromosome segregation phenotype	semapv:LogicalReasoning
FYPO:0000152	abnormal cellular response to nitrogen starvation	semapv:crossSpeciesExactMatch	UPHENO:0083147	cellular response to nitrogen starvation phenotype	semapv:LogicalReasoning
FYPO:0000159	abnormal chromosome condensation	semapv:crossSpeciesExactMatch	UPHENO:0049918	chromosome condensation phenotype	semapv:LogicalReasoning
FYPO:0000162	abnormal cellular response to stress	semapv:crossSpeciesExactMatch	UPHENO:0049964	cellular response to stress phenotype	semapv:LogicalReasoning
FYPO:0000163	abnormal macroautophagy	semapv:crossSpeciesExactMatch	UPHENO:0050243	macroautophagy phenotype	semapv:LogicalReasoning
FYPO:0000168	abnormal mitotic spindle assembly checkpoint	semapv:crossSpeciesExactMatch	UPHENO:7000026	mitotic spindle assembly checkpoint	semapv:LogicalReasoning
FYPO:0000172	abnormal meiotic telomere clustering	semapv:crossSpeciesExactMatch	UPHENO:7000027	meiotic telomere clustering	semapv:LogicalReasoning
FYPO:0000177	abnormal mitotic spindle assembly	semapv:crossSpeciesExactMatch	UPHENO:0051482	mitotic spindle assembly phenotype	semapv:LogicalReasoning
FYPO:0000186	abnormal cell division	semapv:crossSpeciesExactMatch	UPHENO:0049729	cell division phenotype	semapv:LogicalReasoning
FYPO:0000193	abnormal cellular response to osmotic stress	semapv:crossSpeciesExactMatch	UPHENO:0078651	cellular response to osmotic stress phenotype	semapv:LogicalReasoning
FYPO:0000212	abnormal cellular response to heat	semapv:crossSpeciesExactMatch	UPHENO:0083180	cellular response to heat phenotype	semapv:LogicalReasoning
FYPO:0000213	abnormal vesicle-mediated transport during vegetative growth	semapv:crossSpeciesExactMatch	UPHENO:7000028	vesicle-mediated transport during vegetative growth	semapv:LogicalReasoning
FYPO:0000217	abnormal DNA replication	semapv:crossSpeciesExactMatch	UPHENO:7000029	dna replication	semapv:LogicalReasoning
FYPO:0000240	abnormal filament morphology	semapv:crossSpeciesExactMatch	UPHENO:7000030	filament morphology	semapv:LogicalReasoning
FYPO:0000257	normal phenotype	semapv:crossSpeciesExactMatch	UPHENO:7000031	normal phenotype	semapv:LogicalReasoning
FYPO:0000270	sensitive to osmotic stress	semapv:crossSpeciesExactMatch	UPHENO:7000032	sensitive to osmotic stress	semapv:LogicalReasoning
FYPO:0000271	sensitive to salt stress	semapv:crossSpeciesExactMatch	UPHENO:7000033	sensitive to salt stress	semapv:LogicalReasoning
FYPO:0000280	sterile	semapv:crossSpeciesExactMatch	UPHENO:0001003	taxon specific phenotype	semapv:LogicalReasoning
FYPO:0000287	abnormal subcellular component	semapv:crossSpeciesExactMatch	UPHENO:0006889	cellular_component phenotype	semapv:LogicalReasoning
FYPO:0000305	abnormal spore germination	semapv:crossSpeciesExactMatch	UPHENO:0078726	spore germination phenotype	semapv:LogicalReasoning
FYPO:0000327	resistance to trichostatin A	semapv:crossSpeciesExactMatch	UPHENO:0077172	increased resistance of organism to trichostatin A	semapv:LogicalReasoning
FYPO:0000334	cellular component organization phenotype	semapv:crossSpeciesExactMatch	UPHENO:0050021	cellular component organization phenotype	semapv:LogicalReasoning
FYPO:0000335	abnormal cellular component organization	semapv:crossSpeciesExactMatch	UPHENO:0050021	cellular component organization phenotype	semapv:LogicalReasoning
FYPO:0000336	abnormal cellular component assembly	semapv:crossSpeciesExactMatch	UPHENO:0050001	cellular component assembly phenotype	semapv:LogicalReasoning
FYPO:0000337	abnormal mitosis	semapv:crossSpeciesExactMatch	UPHENO:0049930	mitotic cell cycle process phenotype	semapv:LogicalReasoning
FYPO:0000338	abnormal mitotic spindle	semapv:crossSpeciesExactMatch	UPHENO:7000034	mitotic spindle	semapv:LogicalReasoning
FYPO:0000340	haploinsufficient	semapv:crossSpeciesExactMatch	UPHENO:7000004	haploinsufficient	semapv:LogicalReasoning
FYPO:0000348	abnormal spore morphology	semapv:crossSpeciesExactMatch	UPHENO:7000010	aberrant spore morphology; spore morphology	semapv:LogicalReasoning
FYPO:0000354	abnormal endoplasmic reticulum morphology	semapv:crossSpeciesExactMatch	UPHENO:0067712	morphology of endoplasmic reticulum phenotype	semapv:LogicalReasoning
FYPO:0000356	abnormal lipid droplet morphology	semapv:crossSpeciesExactMatch	UPHENO:0082043	morphology of lipid droplet phenotype	semapv:LogicalReasoning
FYPO:0000359	abnormal mitochondrial morphology	semapv:crossSpeciesExactMatch	UPHENO:0067707	morphology of mitochondrion phenotype	semapv:LogicalReasoning
FYPO:0000361	abnormal nucleolar morphology	semapv:crossSpeciesExactMatch	UPHENO:0067701	morphology of nucleolus phenotype	semapv:LogicalReasoning
FYPO:0000362	abnormal peroxisomal morphology	semapv:crossSpeciesExactMatch	UPHENO:7000035	peroxisomal morphology	semapv:LogicalReasoning
FYPO:0000380	abolished macroautophagy	semapv:crossSpeciesExactMatch	UPHENO:0083328	absent macroautophagy	semapv:LogicalReasoning
FYPO:0000381	decreased macroautophagy	semapv:crossSpeciesExactMatch	UPHENO:0084297	decreased occurrence of macroautophagy	semapv:LogicalReasoning
FYPO:0000384	increased macroautophagy	semapv:crossSpeciesExactMatch	UPHENO:0083823	increased occurrence of macroautophagy	semapv:LogicalReasoning
FYPO:0000417	abolished cytokinesis	semapv:crossSpeciesExactMatch	UPHENO:0083356	absent cytokinesis	semapv:LogicalReasoning
FYPO:0000440	sensitive to antimycin A	semapv:crossSpeciesExactMatch	UPHENO:0081749	decreased resistance of organism to antimycin A	semapv:LogicalReasoning
FYPO:0000441	resistance to antimycin A	semapv:crossSpeciesExactMatch	UPHENO:0080304	increased resistance of organism to antimycin A	semapv:LogicalReasoning
FYPO:0000447	abnormal protein-containing complex assembly	semapv:crossSpeciesExactMatch	UPHENO:0050053	protein-containing complex assembly phenotype	semapv:LogicalReasoning
FYPO:0000478	normal meiosis	semapv:crossSpeciesExactMatch	UPHENO:7000036	normal meiosis	semapv:LogicalReasoning
FYPO:0000517	abnormal nucleus positioning	semapv:crossSpeciesExactMatch	UPHENO:0049754	nucleus localization phenotype	semapv:LogicalReasoning
FYPO:0000583	abolished sporulation	semapv:crossSpeciesExactMatch	UPHENO:0083394	absent sporulation	semapv:LogicalReasoning
FYPO:0000627	normal cellular process	semapv:crossSpeciesExactMatch	UPHENO:7000037	normal cellular process	semapv:LogicalReasoning
FYPO:0000647	vegetative cell lysis	semapv:crossSpeciesExactMatch	UPHENO:7000038	vegetative cell lysis	semapv:LogicalReasoning
FYPO:0000652	molecular function phenotype	semapv:crossSpeciesExactMatch	UPHENO:7000039	molecular function phenotype	semapv:LogicalReasoning
FYPO:0000653	DNA binding phenotype	semapv:crossSpeciesExactMatch	UPHENO:7000040	dna binding phenotype	semapv:LogicalReasoning
FYPO:0000654	catalytic activity phenotype	semapv:crossSpeciesExactMatch	UPHENO:0031742	catalytic activity phenotype	semapv:LogicalReasoning
