defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	orientation	orientation_label
http://purl.obolibrary.org/obo/ZP_0012115	ceratohyal cartilage curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0140887	common cardinal vein decreased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000186	common cardinal vein	http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature
http://purl.obolibrary.org/obo/ZP_0147616	cranial vault domed, abnormal	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault	http://purl.obolibrary.org/obo/PATO_0001789	domed
http://purl.obolibrary.org/obo/ZP_0020794	cranium domed, abnormal	http://purl.obolibrary.org/obo/ZFA_0000737	cranium	http://purl.obolibrary.org/obo/PATO_0001789	domed
http://purl.obolibrary.org/obo/ZP_0000877	dentary curved caudal, abnormal	http://purl.obolibrary.org/obo/ZFA_0000191	dentary	http://purl.obolibrary.org/obo/PATO_0001467	curved caudal
http://purl.obolibrary.org/obo/ZP_0016495	ethmoid cartilage curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001405	ethmoid cartilage	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0009887	eye curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0000107	eye	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0148710	eye decreased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000107	eye	http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature
http://purl.obolibrary.org/obo/ZP_0010050	gut decreased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000112	gut	http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature
http://purl.obolibrary.org/obo/ZP_0131212	hair cell anterior macula splayed, abnormal	http://purl.obolibrary.org/obo/ZFA_0000678	hair cell anterior macula	http://purl.obolibrary.org/obo/PATO_0001785	splayed
http://purl.obolibrary.org/obo/ZP_0143316	hair cell posterior macula splayed, abnormal	http://purl.obolibrary.org/obo/ZFA_0000281	hair cell posterior macula	http://purl.obolibrary.org/obo/PATO_0001785	splayed
http://purl.obolibrary.org/obo/ZP_0016181	head curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0003728	head domed, abnormal	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/PATO_0001789	domed
http://purl.obolibrary.org/obo/ZP_0147680	hemal arch curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000519	hemal arch	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0020425	hypural curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000364	hypural	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0019176	intestinal bulb primordium decreased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0005738	intestinal bulb primordium	http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature
http://purl.obolibrary.org/obo/ZP_0003301	lateral line curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001469	lateral line	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0141518	male organism curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000242	male organism	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0000890	maxilla curved caudal, abnormal	http://purl.obolibrary.org/obo/ZFA_0000270	maxilla	http://purl.obolibrary.org/obo/PATO_0001467	curved caudal
http://purl.obolibrary.org/obo/ZP_0009079	myoseptum curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001089	myoseptum	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0016124	neural arch curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001066	neural arch	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0021759	neural rod curved rostral, abnormal	http://purl.obolibrary.org/obo/ZFA_0000133	neural rod	http://purl.obolibrary.org/obo/PATO_0001466	curved rostral
http://purl.obolibrary.org/obo/ZP_0143531	neural tube curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001135	neural tube	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0130870	non-Weberian precaudal vertebra increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001582	non-Weberian precaudal vertebra	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0147109	notochord asymmetrically curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord	http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/ZP_0000628	notochord curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0009010	notochord curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0141715	notochord increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0143535	notochord outer sheath cell curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0005744	notochord outer sheath cell	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0016173	notochord posterior region curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001670	notochord posterior region	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0000266	opercle curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000250	opercle	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0005101	palatoquadrate cartilage curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0005102	palatoquadrate cartilage curved medial, abnormal	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/ZP_0020430	parhypural curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000438	parhypural	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0010671	pectoral fin curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0015669	pectoral fin curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0137284	pectoral fin skeleton curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000943	pectoral fin skeleton	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0018379	pectoral fin upturned, abnormal	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin	http://purl.obolibrary.org/obo/PATO_0002031	upturned
http://purl.obolibrary.org/obo/ZP_0137286	pelvic fin skeleton curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001387	pelvic fin skeleton	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0149348	post-vent region asymmetrically curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/ZP_0001255	post-vent region curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0004994	post-vent region curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0000638	post-vent region curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0000637	post-vent region curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0001091	post-vent region increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0149740	post-vent region normal curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/PATO_0045013	normal curvature
http://purl.obolibrary.org/obo/ZP_0016110	postcranial axial skeleton curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000317	postcranial axial skeleton	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0008351	postcranial axial skeleton increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000317	postcranial axial skeleton	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0106763	posterior communicating artery increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0005001	posterior communicating artery	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0147461	precaudal vertebra curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0000263	precaudal vertebra	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0012227	precaudal vertebra curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000263	precaudal vertebra	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0149221	presumptive atrium heart tube increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001718	presumptive atrium heart tube	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0021066	pronephric duct curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000150	pronephric duct	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0021070	pronephric tubule curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0020434	rib curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000538	rib	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0016730	scale splayed, abnormal	http://purl.obolibrary.org/obo/ZFA_0000277	scale	http://purl.obolibrary.org/obo/PATO_0001785	splayed
http://purl.obolibrary.org/obo/ZP_0005872	segmental plate curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000279	segmental plate	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0007740	skeletal muscle cell curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0009115	skeletal muscle cell	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0009330	slow muscle cell curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0009116	slow muscle cell	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0148554	somite border curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001462	somite border	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0008737	somite curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0147096	spinal cord asymmetrically curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/ZP_0130882	spinal cord curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0007310	spinal cord curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0006844	spinal cord curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0004781	spinal cord increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0019059	trunk curved caudal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001467	curved caudal
http://purl.obolibrary.org/obo/ZP_0001254	trunk curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0006020	trunk curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0000636	trunk curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0002347	trunk curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0002564	trunk increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0149739	trunk normal curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/PATO_0045013	normal curvature
http://purl.obolibrary.org/obo/ZP_0143469	ventral mandibular arch splayed ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001273	ventral mandibular arch	http://purl.obolibrary.org/obo/PATO_0002154	splayed ventral
http://purl.obolibrary.org/obo/ZP_0103098	vertebra curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001189	vertebra	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0020501	vertebral column asymmetrically curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/ZP_0104436	vertebral column curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0009426	vertebral column curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0021442	vertebral column curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0012232	vertebral column curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0012643	vertebral column increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0141720	vertebral column normal curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001559	vertebral column	http://purl.obolibrary.org/obo/PATO_0045013	normal curvature
http://purl.obolibrary.org/obo/ZP_0008723	vertical myoseptum curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0000610	vertical myoseptum	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0001449	whole organism curved dorsal, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/ZP_0006453	whole organism curved lateral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/ZP_0000856	whole organism curved ventral, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/ZP_0001448	whole organism curved, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/ZP_0002562	whole organism increased curvature, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/ZP_0012863	yolk domed, abnormal	http://purl.obolibrary.org/obo/ZFA_0000084	yolk	http://purl.obolibrary.org/obo/PATO_0001789	domed
