defined_class	defined_class_label	location	location_label	part_anatomical_entity	part_anatomical_entity_label	whole_anatomical_entity	whole_anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0102399	dorsal longitudinal anastomotic vessel has fewer parts of type anatomical region macrophage, abnormal	http://purl.obolibrary.org/obo/ZFA_0009141	macrophage	http://purl.obolibrary.org/obo/ZFA_0005025	dorsal longitudinal anastomotic vessel	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region
http://purl.obolibrary.org/obo/ZP_0104044	female organism has fewer parts of type ovary oocyte stage III, abnormal	http://purl.obolibrary.org/obo/ZFA_0001566	oocyte stage III	http://purl.obolibrary.org/obo/ZFA_0000303	female organism	http://purl.obolibrary.org/obo/ZFA_0000403	ovary
http://purl.obolibrary.org/obo/ZP_0101545	gut has fewer parts of type anatomical region neural crest cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009165	neural crest cell	http://purl.obolibrary.org/obo/ZFA_0000112	gut	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region
http://purl.obolibrary.org/obo/ZP_0022749	head has fewer parts of type dorsal region melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001114	head	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0022155	hematopoietic system has fewer parts of type posterior side hematopoietic multipotent progenitor cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009354	hematopoietic multipotent progenitor cell	http://purl.obolibrary.org/obo/ZFA_0005023	hematopoietic system	http://purl.obolibrary.org/obo/BSPO_0000056	posterior side
http://purl.obolibrary.org/obo/ZP_0004845	hindbrain has fewer parts of type dorsal region neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0147411	hindbrain has fewer parts of type posterior side neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain	http://purl.obolibrary.org/obo/BSPO_0000056	posterior side
http://purl.obolibrary.org/obo/ZP_0009510	hypophysis has fewer parts of type vasculature blood vessel endothelial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009036	blood vessel endothelial cell	http://purl.obolibrary.org/obo/ZFA_0000118	hypophysis	http://purl.obolibrary.org/obo/ZFA_0005249	vasculature
http://purl.obolibrary.org/obo/ZP_0016411	hypothalamus has fewer parts of type lateral region peptide hormone secreting cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009100	peptide hormone secreting cell	http://purl.obolibrary.org/obo/ZFA_0000032	hypothalamus	http://purl.obolibrary.org/obo/BSPO_0000082	lateral region
http://purl.obolibrary.org/obo/ZP_0012378	hypothalamus has fewer parts of type posterior side dopaminergic neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009301	dopaminergic neuron	http://purl.obolibrary.org/obo/ZFA_0000032	hypothalamus	http://purl.obolibrary.org/obo/BSPO_0000056	posterior side
http://purl.obolibrary.org/obo/ZP_0137634	male organism has fewer parts of type gonad spermatogenic cyst, abnormal	http://purl.obolibrary.org/obo/ZFA_0005882	spermatogenic cyst	http://purl.obolibrary.org/obo/ZFA_0000242	male organism	http://purl.obolibrary.org/obo/ZFA_0000413	gonad
http://purl.obolibrary.org/obo/ZP_0139712	midbrain has fewer parts of type blood vasculature blood vessel, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0000128	midbrain	http://purl.obolibrary.org/obo/ZFA_0001079	blood vasculature
http://purl.obolibrary.org/obo/ZP_0141088	midbrain has fewer parts of type blood vasculature macrophage, abnormal	http://purl.obolibrary.org/obo/ZFA_0009141	macrophage	http://purl.obolibrary.org/obo/ZFA_0000128	midbrain	http://purl.obolibrary.org/obo/ZFA_0001079	blood vasculature
http://purl.obolibrary.org/obo/ZP_0101624	midbrain has fewer parts of type lymph vessel endothelial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009065	endothelial cell	http://purl.obolibrary.org/obo/ZFA_0000128	midbrain	http://purl.obolibrary.org/obo/ZFA_0005844	lymph vessel
http://purl.obolibrary.org/obo/ZP_0007957	opercle has fewer parts of type antero-ventral margin bone tissue, abnormal	http://purl.obolibrary.org/obo/ZFA_0005621	bone tissue	http://purl.obolibrary.org/obo/ZFA_0000250	opercle	http://purl.obolibrary.org/obo/BSPO_0000688	antero-ventral margin
http://purl.obolibrary.org/obo/ZP_0007958	opercle has fewer parts of type antero-ventral margin osteoblast, abnormal	http://purl.obolibrary.org/obo/ZFA_0009031	osteoblast	http://purl.obolibrary.org/obo/ZFA_0000250	opercle	http://purl.obolibrary.org/obo/BSPO_0000688	antero-ventral margin
http://purl.obolibrary.org/obo/ZP_0007960	opercle has fewer parts of type postero-ventral margin osteoblast, abnormal	http://purl.obolibrary.org/obo/ZFA_0009031	osteoblast	http://purl.obolibrary.org/obo/ZFA_0000250	opercle	http://purl.obolibrary.org/obo/BSPO_0000689	postero-ventral margin
http://purl.obolibrary.org/obo/ZP_0141645	optic cup has fewer parts of type anatomical region neural crest cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009165	neural crest cell	http://purl.obolibrary.org/obo/ZFA_0001202	optic cup	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region
http://purl.obolibrary.org/obo/ZP_0105986	optic tectum has fewer parts of type dorso-lateral region microglial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009077	microglial cell	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum	http://purl.obolibrary.org/obo/BSPO_0000080	dorso-lateral region
http://purl.obolibrary.org/obo/ZP_0106405	optic tectum has fewer parts of type ventral region microglial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009077	microglial cell	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum	http://purl.obolibrary.org/obo/BSPO_0000084	ventral region
http://purl.obolibrary.org/obo/ZP_0021551	periventricular grey zone has fewer parts of type proliferative region cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000516	periventricular grey zone	http://purl.obolibrary.org/obo/ZFA_0000098	proliferative region
http://purl.obolibrary.org/obo/ZP_0007390	post-vent region has fewer parts of type melanophore stripe melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/ZFA_0001463	melanophore stripe
http://purl.obolibrary.org/obo/ZP_0017359	post-vent region has fewer parts of type yolk larval melanophore stripe melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region	http://purl.obolibrary.org/obo/ZFA_0005224	yolk larval melanophore stripe
http://purl.obolibrary.org/obo/ZP_0011159	posterior lateral line nerve has fewer parts of type axon myelinating Schwann cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009135	myelinating Schwann cell	http://purl.obolibrary.org/obo/ZFA_0000175	posterior lateral line nerve	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/ZP_0010075	posterior lateral line primordium has fewer parts of type posterior-most region cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001157	posterior lateral line primordium	http://purl.obolibrary.org/obo/BSPO_0000037	posterior-most region
http://purl.obolibrary.org/obo/ZP_0012511	postoptic commissure has fewer parts of type medial region glial cell (sensu Vertebrata), abnormal	http://purl.obolibrary.org/obo/ZFA_0009147	glial cell (sensu Vertebrata)	http://purl.obolibrary.org/obo/ZFA_0000059	postoptic commissure	http://purl.obolibrary.org/obo/BSPO_0000083	medial region
http://purl.obolibrary.org/obo/ZP_0100267	pronephric tubule has fewer parts of type proximal region cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule	http://purl.obolibrary.org/obo/BSPO_0000077	proximal region
http://purl.obolibrary.org/obo/ZP_0021736	regenerating tissue has fewer parts of type neuromast neuromast support cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009363	neuromast support cell	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0000243	neuromast
http://purl.obolibrary.org/obo/ZP_0005808	retina has fewer parts of type central region eye photoreceptor cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009154	eye photoreceptor cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000075	central region
http://purl.obolibrary.org/obo/ZP_0019821	retina has fewer parts of type central region retinal cone cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009262	retinal cone cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000075	central region
http://purl.obolibrary.org/obo/ZP_0147069	retina has fewer parts of type central region retinal rod cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009275	retinal rod cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000075	central region
http://purl.obolibrary.org/obo/ZP_0105970	retina has fewer parts of type dorsal side retinal cone cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009262	retinal cone cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000063	dorsal side
http://purl.obolibrary.org/obo/ZP_0145932	retina has fewer parts of type peripheral region microglial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009077	microglial cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000127	peripheral region
http://purl.obolibrary.org/obo/ZP_0105971	retina has fewer parts of type ventral side retinal cone cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009262	retinal cone cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000068	ventral side
http://purl.obolibrary.org/obo/ZP_0105972	retina has fewer parts of type ventral side retinal rod cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009275	retinal rod cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina	http://purl.obolibrary.org/obo/BSPO_0000068	ventral side
http://purl.obolibrary.org/obo/ZP_0009619	segmental plate has fewer parts of type anterior region adaxial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000003	adaxial cell	http://purl.obolibrary.org/obo/ZFA_0000279	segmental plate	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0145591	somite has fewer parts of type lateral surface slow muscle cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009116	slow muscle cell	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/BSPO_0000382	lateral surface
http://purl.obolibrary.org/obo/ZP_0101590	spinal cord has fewer parts of type anatomical region angiogenic sprout, abnormal	http://purl.obolibrary.org/obo/ZFA_0005604	angiogenic sprout	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region
http://purl.obolibrary.org/obo/ZP_0011144	spinal cord has fewer parts of type anterior region motor neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009052	motor neuron	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0011073	spinal cord has fewer parts of type anterior region primary motor neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009244	primary motor neuron	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0011143	spinal cord has fewer parts of type anterior region spinal cord interneuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0000778	spinal cord interneuron	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0142728	spinal cord has fewer parts of type dorsal region glioblast (sensu Vertebrata), abnormal	http://purl.obolibrary.org/obo/ZFA_0009169	glioblast (sensu Vertebrata)	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0010211	spinal cord has fewer parts of type dorsal region oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0014884	spinal cord has fewer parts of type dorsal side oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000063	dorsal side
http://purl.obolibrary.org/obo/ZP_0101800	spinal cord has fewer parts of type posterior region oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region
http://purl.obolibrary.org/obo/ZP_0101798	spinal cord has fewer parts of type postero-dorsal region oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000030	postero-dorsal region
http://purl.obolibrary.org/obo/ZP_0101799	spinal cord has fewer parts of type postero-ventral region oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/BSPO_0000035	postero-ventral region
http://purl.obolibrary.org/obo/ZP_0022334	spinal cord has fewer parts of type regenerating tissue neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue
http://purl.obolibrary.org/obo/ZP_0010214	spinal cord has fewer parts of type white matter oligodendrocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009076	oligodendrocyte	http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord	http://purl.obolibrary.org/obo/ZFA_0001682	white matter
http://purl.obolibrary.org/obo/ZP_0142411	statoacoustic (VIII) ganglion has fewer parts of type anterior region neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000588	statoacoustic (VIII) ganglion	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0142421	statoacoustic (VIII) ganglion has fewer parts of type posterior region neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron	http://purl.obolibrary.org/obo/ZFA_0000588	statoacoustic (VIII) ganglion	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region
http://purl.obolibrary.org/obo/ZP_0021550	torus longitudinalis has fewer parts of type proliferative region cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000449	torus longitudinalis	http://purl.obolibrary.org/obo/ZFA_0000098	proliferative region
http://purl.obolibrary.org/obo/ZP_0004890	trunk has fewer parts of type anterior region melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region
http://purl.obolibrary.org/obo/ZP_0020865	trunk has fewer parts of type central region dermomyotome, abnormal	http://purl.obolibrary.org/obo/ZFA_0001513	dermomyotome	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000075	central region
http://purl.obolibrary.org/obo/ZP_0012366	trunk has fewer parts of type dermis iridophore, abnormal	http://purl.obolibrary.org/obo/ZFA_0009199	iridophore	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/ZFA_0001119	dermis
http://purl.obolibrary.org/obo/ZP_0011375	trunk has fewer parts of type dermis melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/ZFA_0001119	dermis
http://purl.obolibrary.org/obo/ZP_0016501	trunk has fewer parts of type dorsal region iridophore, abnormal	http://purl.obolibrary.org/obo/ZFA_0009199	iridophore	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0130816	trunk has fewer parts of type dorsal surface melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000379	dorsal surface
http://purl.obolibrary.org/obo/ZP_0007388	trunk has fewer parts of type melanophore stripe melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/ZFA_0001463	melanophore stripe
http://purl.obolibrary.org/obo/ZP_0012275	trunk has fewer parts of type posterior region neuromast, abnormal	http://purl.obolibrary.org/obo/ZFA_0000243	neuromast	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region
http://purl.obolibrary.org/obo/ZP_0130951	trunk has fewer parts of type ventral surface iridophore, abnormal	http://purl.obolibrary.org/obo/ZFA_0009199	iridophore	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000384	ventral surface
http://purl.obolibrary.org/obo/ZP_0011374	trunk has fewer parts of type ventro-lateral region xanthophore, abnormal	http://purl.obolibrary.org/obo/ZFA_0009198	xanthophore	http://purl.obolibrary.org/obo/ZFA_0001115	trunk	http://purl.obolibrary.org/obo/BSPO_0000085	ventro-lateral region
http://purl.obolibrary.org/obo/ZP_0012316	vasculature has fewer parts of type circulating cell neutrophil, abnormal	http://purl.obolibrary.org/obo/ZFA_0009327	neutrophil	http://purl.obolibrary.org/obo/ZFA_0005249	vasculature	http://purl.obolibrary.org/obo/ZFA_0009043	circulating cell
http://purl.obolibrary.org/obo/ZP_0022747	whole organism has fewer parts of type dorsal region melanocyte, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region
http://purl.obolibrary.org/obo/ZP_0102244	whole organism has fewer parts of type posterior region hematopoietic multipotent progenitor cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0009354	hematopoietic multipotent progenitor cell	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region
http://purl.obolibrary.org/obo/ZP_0015359	whole organism has fewer parts of type posterior region muscle, abnormal	http://purl.obolibrary.org/obo/ZFA_0005145	muscle	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region
