defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0012716	abnormal hemangioblast number	http://purl.obolibrary.org/obo/CL_0002418	hemangioblast
http://purl.obolibrary.org/obo/MP_0011180	abnormal hematopoietic cell number	http://purl.obolibrary.org/obo/CL_0000988	hematopoietic cell
http://purl.obolibrary.org/obo/MP_0013708	abnormal hematopoietic precursor cell number	http://purl.obolibrary.org/obo/CL_0008001	hematopoietic precursor cell
http://purl.obolibrary.org/obo/MP_0013664	abnormal immature B cell number	http://purl.obolibrary.org/obo/CL_0000816	immature B cell
http://purl.obolibrary.org/obo/MP_0013665	abnormal immature NK cell number	http://purl.obolibrary.org/obo/CL_0000823	immature natural killer cell
http://purl.obolibrary.org/obo/MP_0008895	abnormal intraepithelial T cell number	http://purl.obolibrary.org/obo/CL_0002496	intraepithelial lymphocyte
http://purl.obolibrary.org/obo/MP_0000217	abnormal leukocyte cell number	http://purl.obolibrary.org/obo/CL_0000738	leukocyte
http://purl.obolibrary.org/obo/MP_0001839	abnormal level of surface class I molecules	http://purl.obolibrary.org/obo/GO_0042612	MHC class I protein complex
http://purl.obolibrary.org/obo/MP_0005042	abnormal level of surface class II molecules	http://purl.obolibrary.org/obo/GO_0042613	MHC class II protein complex
http://purl.obolibrary.org/obo/MP_0000717	abnormal lymphocyte cell number	http://purl.obolibrary.org/obo/CL_0000542	lymphocyte
http://purl.obolibrary.org/obo/MP_0020202	abnormal macrophage cell number	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/MP_0020203	abnormal mast cell number	http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/MP_0013701	abnormal mature B cell number	http://purl.obolibrary.org/obo/CL_0000785	mature B cell
http://purl.obolibrary.org/obo/MP_0013671	abnormal mature NK cell number	http://purl.obolibrary.org/obo/CL_0000824	mature natural killer cell
http://purl.obolibrary.org/obo/MP_0020462	abnormal megakaryocyte progenitor cell number	http://purl.obolibrary.org/obo/CL_0000553	megakaryocyte progenitor cell
http://purl.obolibrary.org/obo/MP_0013703	abnormal megakaryocyte-erythroid progenitor cell number	http://purl.obolibrary.org/obo/CL_0000050	megakaryocyte-erythroid progenitor cell
http://purl.obolibrary.org/obo/MP_0008093	abnormal memory B cell number	http://purl.obolibrary.org/obo/CL_0000787	memory B cell
http://purl.obolibrary.org/obo/MP_0008048	abnormal memory T cell number	http://purl.obolibrary.org/obo/CL_0000813	memory T cell
http://purl.obolibrary.org/obo/MP_0012441	abnormal monocyte cell number	http://purl.obolibrary.org/obo/CL_0000576	monocyte
http://purl.obolibrary.org/obo/MP_0013661	abnormal myeloid cell number	http://purl.obolibrary.org/obo/CL_0000763	myeloid cell
http://purl.obolibrary.org/obo/MP_0008120	abnormal myeloid dendritic cell number	http://purl.obolibrary.org/obo/CL_0000782	myeloid dendritic cell
http://purl.obolibrary.org/obo/MP_0008946	abnormal neuron number	http://purl.obolibrary.org/obo/CL_0000540	neuron
http://purl.obolibrary.org/obo/MP_0012440	abnormal neutrophil cell number	http://purl.obolibrary.org/obo/CL_0000775	neutrophil
http://purl.obolibrary.org/obo/MP_0030454	abnormal odontoblast number	http://purl.obolibrary.org/obo/CL_0000060	odontoblast
http://purl.obolibrary.org/obo/MP_0004496	abnormal organ of Corti supporting cell number	http://purl.obolibrary.org/obo/CL_0002490	organ of Corti supporting cell
http://purl.obolibrary.org/obo/MP_0004987	abnormal osteoblast cell number	http://purl.obolibrary.org/obo/CL_0000062	osteoblast
http://purl.obolibrary.org/obo/MP_0004983	abnormal osteoclast cell number	http://purl.obolibrary.org/obo/CL_0000092	osteoclast
http://purl.obolibrary.org/obo/MP_0030481	abnormal osteocyte number	http://purl.obolibrary.org/obo/CL_0000137	osteocyte
http://purl.obolibrary.org/obo/MP_0020578	abnormal pancreatic beta cell number	http://purl.obolibrary.org/obo/CL_0000169	type B pancreatic cell
http://purl.obolibrary.org/obo/MP_0020579	abnormal pancreatic delta cell number	http://purl.obolibrary.org/obo/CL_0000173	pancreatic D cell
http://purl.obolibrary.org/obo/MP_0020580	abnormal pancreatic epsilon cell number	http://purl.obolibrary.org/obo/CL_0005019	pancreatic epsilon cell
http://purl.obolibrary.org/obo/MP_0020815	abnormal photoreceptor outer segment number	http://purl.obolibrary.org/obo/GO_0001750	photoreceptor outer segment
http://purl.obolibrary.org/obo/MP_0008096	abnormal plasma cell number	http://purl.obolibrary.org/obo/CL_0000786	plasma cell
http://purl.obolibrary.org/obo/MP_0013940	abnormal plasmablast number	http://purl.obolibrary.org/obo/CL_0000980	plasmablast
http://purl.obolibrary.org/obo/MP_0008123	abnormal plasmacytoid dendritic cell number	http://purl.obolibrary.org/obo/CL_0000784	plasmacytoid dendritic cell
http://purl.obolibrary.org/obo/MP_0020429	abnormal platelet alpha-granule number	http://purl.obolibrary.org/obo/GO_0031091	platelet alpha granule
http://purl.obolibrary.org/obo/MP_0011898	abnormal platelet cell number	http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/MP_0004722	abnormal platelet dense granule number	http://purl.obolibrary.org/obo/GO_0042827	platelet dense granule
http://purl.obolibrary.org/obo/MP_0020387	abnormal radial glial cell number	http://purl.obolibrary.org/obo/CL_0000681	radial glial cell
http://purl.obolibrary.org/obo/MP_0004972	abnormal regulatory T cell number	http://purl.obolibrary.org/obo/CL_0000815	regulatory T cell
http://purl.obolibrary.org/obo/MP_0011913	abnormal reticulocyte cell number	http://purl.obolibrary.org/obo/CL_0000558	reticulocyte
http://purl.obolibrary.org/obo/MP_0013377	abnormal sebocyte number	http://purl.obolibrary.org/obo/CL_0002140	acinar cell of sebaceous gland
http://purl.obolibrary.org/obo/MP_0002673	abnormal sperm number	http://purl.obolibrary.org/obo/CL_0000019	sperm
http://purl.obolibrary.org/obo/MP_0004792	abnormal synaptic vesicle number	http://purl.obolibrary.org/obo/GO_0008021	synaptic vesicle
http://purl.obolibrary.org/obo/MP_0009369	abnormal theca cell number	http://purl.obolibrary.org/obo/CL_0000503	theca cell
http://purl.obolibrary.org/obo/MP_0004326	abnormal vestibular hair cell number	http://purl.obolibrary.org/obo/CL_0000609	vestibular hair cell
http://purl.obolibrary.org/obo/MP_0009129	abnormal white fat cell number	http://purl.obolibrary.org/obo/CL_0000448	white fat cell
