upheno_id	upheno_label	parent	comment
UPHENO:7000040	dna binding phenotype	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000653 (DNA binding phenotype), PHIPO:0000143 (DNA binding phenotype)
UPHENO:7000041	normal dna binding	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000146 (normal DNA binding), FYPO:0000655 (normal DNA binding)
UPHENO:7000042	increased dna binding	UPHENO:0080368	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000657 (increased DNA binding), PHIPO:0000150 (increased DNA binding)
UPHENO:7000043	decreased dna binding	UPHENO:0080368	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000149 (decreased DNA binding), FYPO:0000658 (decreased DNA binding)
UPHENO:7000044	normal catalytic activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000433 (normal catalytic activity), FYPO:0000660 (normal catalytic activity)
UPHENO:7000045	abolished peptidase activity	UPHENO:0031742|UPHENO:0081813	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001279 (abolished peptidase activity), FYPO:0000669 (abolished peptidase activity)
UPHENO:7000046	protein-protein interaction phenotype	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000132 (protein-protein interaction phenotype), FYPO:0000702 (protein-protein interaction phenotype)
UPHENO:7000047	normal protein-protein interaction	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000703 (normal protein-protein interaction), PHIPO:0000134 (normal protein-protein interaction)
UPHENO:7000048	abolished protein-protein interaction	UPHENO:0080029	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000135 (abolished protein-protein interaction), FYPO:0000705 (abolished protein-protein interaction)
UPHENO:7000049	normal molecular function	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000416 (normal molecular function), FYPO:0000706 (normal molecular function)
UPHENO:7000050	sensitive to oxidative stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001398 (sensitive to oxidative stress), FYPO:0000726 (sensitive to oxidative stress)
UPHENO:7000051	normal cellular pigment accumulation	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000286 (normal cellular pigment accumulation), FYPO:0000740 (normal cellular pigment accumulation)
UPHENO:7000052	kinetochore organization; kinetochore organization variant	UPHENO:0067694|UPHENO:0067645	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000807 (abnormal kinetochore organization), WBPhenotype:0001910 (kinetochore organization variant)
UPHENO:7000053	nuclear envelope organization; nuclear envelope organization variant	UPHENO:0067691|UPHENO:0067645	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.WBPhenotype:0002037 (nuclear envelope organization variant), FYPO:0000815 (abnormal nuclear envelope organization)
UPHENO:7000054	normal rna level	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001064 (normal RNA level), FYPO:0000840 (normal RNA level)
UPHENO:7000055	resistance to salt stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001304 (resistance to salt stress), FYPO:0000852 (resistance to salt stress)
UPHENO:7000056	normal growth on thiabendazole	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001341 (normal growth on thiabendazole), FYPO:0000964 (normal growth on thiabendazole)
UPHENO:7000057	normal growth on amphotericin b	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000980 (normal growth on amphotericin B), PHIPO:0001352 (normal growth on amphotericin B)
UPHENO:7000058	normal transport	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001011 (normal transport), FYPO:0001071 (normal transport)
UPHENO:7000059	normal level of substance in cell	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001076 (normal level of substance in cell), PHIPO:0001038 (normal level of substance in cell)
UPHENO:7000060	maltase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0020048 (abnormal maltase activity), FYPO:0001184 (abnormal maltase activity)
UPHENO:7000061	decreased maltase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001186 (decreased maltase activity), MP:0020049 (decreased maltase activity)
UPHENO:7000062	sensitive to calcium ion starvation	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001270 (sensitive to calcium ion starvation), FYPO:0001201 (sensitive to calcium ion starvation)
UPHENO:7000063	normal subcellular component	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000159 (normal subcellular component), FYPO:0001233 (normal subcellular component)
UPHENO:7000064	resistance to tacrolimus	UPHENO:0076993	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001379 (resistance to tacrolimus), PHIPO:0001378 (resistance to tacrolimus)
UPHENO:7000065	normal growth on tacrolimus	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001470 (normal growth on tacrolimus), PHIPO:0001380 (normal growth on tacrolimus)
UPHENO:7000066	increased protein-protein interaction	UPHENO:0080029	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001571 (increased protein-protein interaction), PHIPO:0000137 (increased protein-protein interaction)
UPHENO:7000067	decreased protein-protein interaction	UPHENO:0080029	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001645 (decreased protein-protein interaction), PHIPO:0000136 (decreased protein-protein interaction)
UPHENO:7000068	normal growth on carbendazim	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001686 (normal growth on carbendazim), PHIPO:0001310 (normal growth on carbendazim)
UPHENO:7000069	normal growth on benomyl	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001687 (normal growth on benomyl), PHIPO:0001309 (normal growth on benomyl)
UPHENO:7000070	normal growth on brefeldin a	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001688 (normal growth on brefeldin A), PHIPO:0001428 (normal growth on brefeldin A)
UPHENO:7000071	normal growth on caspofungin	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0001883 (normal growth on caspofungin), PHIPO:0001436 (normal growth on caspofungin)
UPHENO:7000072	sensitive to iron ion starvation	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001074 (sensitive to iron ion starvation), FYPO:0002015 (sensitive to iron ion starvation)
UPHENO:7000073	resistance to stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0002046 (resistance to stress), PHIPO:0001096 (resistance to stress)
UPHENO:7000074	enlarged nucleus; increased size of the nucleus	UPHENO:0001134|UPHENO:0067645	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.XPO:0130337 (increased size of the nucleus), FYPO:0002255 (enlarged nucleus)
UPHENO:7000075	normal growth on terbinafine	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001437 (normal growth on terbinafine), FYPO:0002343 (normal growth on terbinafine)
UPHENO:7000076	nucleus	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.XPO:0100894 (abnormal nucleus), FYPO:0002403 (abnormal nucleus)
UPHENO:7000077	cell lysis	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000936 (cell lysis), FYPO:0002488 (cell lysis)
UPHENO:7000078	sensitive to stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0002549 (sensitive to stress), PHIPO:0001098 (sensitive to stress)
UPHENO:7000079	vacuole	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PLANP:0000298 (abnormal vacuole), FYPO:0002794 (abnormal vacuole)
UPHENO:7000080	sensitive to non-ionic osmotic stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0002811 (sensitive to non-ionic osmotic stress), PHIPO:0001307 (sensitive to non-ionic osmotic stress)
UPHENO:7000081	endoplasmic reticulum localization; endoplasmic reticulum localization variant	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0002872 (abnormal endoplasmic reticulum localization), WBPhenotype:0002101 (endoplasmic reticulum localization variant)
UPHENO:7000082	resistance to nocodazole	UPHENO:0076993	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003022 (resistance to nocodazole), PHIPO:0001340 (resistance to nocodazole)
UPHENO:7000083	normal rna localization	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003058 (normal RNA localization), PHIPO:0000253 (normal RNA localization)
UPHENO:7000084	decreased mitotic index	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003306 (decreased mitotic index), MP:0004759 (decreased mitotic index)
UPHENO:7000085	increased mitotic index	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003307 (increased mitotic index), MP:0004760 (increased mitotic index)
UPHENO:7000086	altered substrate specificity	UPHENO:0031742	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000438 (altered substrate specificity), FYPO:0003347 (altered substrate specificity)
UPHENO:7000087	ornithine carbamoyltransferase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0011586 (abnormal ornithine carbamoyltransferase activity), FYPO:0003433 (abnormal ornithine carbamoyltransferase activity)
UPHENO:7000088	normal meiosis i	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000099 (normal meiosis I), FYPO:0003563 (normal meiosis I)
UPHENO:7000089	normal protein localization	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003627 (normal protein localization), PHIPO:0000269 (normal protein localization)
UPHENO:7000090	alcohol dehydrogenase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003733 (abnormal alcohol dehydrogenase activity), MP:0020118 (abnormal alcohol dehydrogenase activity)
UPHENO:7000091	decreased alcohol dehydrogenase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0020119 (decreased alcohol dehydrogenase activity), FYPO:0003734 (decreased alcohol dehydrogenase activity)
UPHENO:7000092	altered dna binding specificity	UPHENO:0080368	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0003735 (altered DNA binding specificity), PHIPO:0000148 (altered DNA binding specificity)
UPHENO:7000093	normal meiosis ii	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000098 (normal meiosis II), FYPO:0003798 (normal meiosis II)
UPHENO:7000094	normal growth on fluconazole	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001429 (normal growth on fluconazole), FYPO:0003849 (normal growth on fluconazole)
UPHENO:7000095	nad(p)h oxidase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0020445 (abnormal NAD(P)H oxidase activity), FYPO:0003884 (abnormal NAD(P)H oxidase activity)
UPHENO:7000096	endocytosis	UPHENO:0085578	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0030951 (abnormal endocytosis), FYPO:0003886 (abnormal endocytosis)
UPHENO:7000097	glutathione peroxidase activity	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0004048 (abnormal glutathione peroxidase activity), MP:0011601 (abnormal glutathione peroxidase activity)
UPHENO:7000098	septum	UPHENO:0002564	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0004292 (abnormal septum), XPO:0141715 (abnormal septum)
UPHENO:7000099	rna localization phenotype	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0004853 (RNA localization phenotype), PHIPO:0000249 (RNA localization phenotype)
UPHENO:7000100	mitochondrion	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0004943 (abnormal mitochondrion), PLANP:0000341 (abnormal mitochondrion)
UPHENO:7000101	ribosome biogenesis	UPHENO:0086296|UPHENO:0086297	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0005017 (abnormal ribosome biogenesis), MP:0014242 (abnormal ribosome biogenesis)
UPHENO:7000102	altered protein binding specificity	UPHENO:0080029	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0005119 (altered protein binding specificity), PHIPO:0000138 (altered protein binding specificity)
UPHENO:7000103	normal protein complex binding	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000144 (normal protein complex binding), FYPO:0005232 (normal protein complex binding)
UPHENO:7000104	dna-templated transcription; transcription	UPHENO:0049904|UPHENO:0085578|UPHENO:0086172	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0020845 (abnormal DNA-templated transcription), FYPO:0005502 (abnormal transcription)
UPHENO:7000105	meiotic sister chromatid segregation; meiotic sister chromatid segregation variant	UPHENO:0049866|UPHENO:0049621	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.WBPhenotype:0001898 (meiotic sister chromatid segregation variant), FYPO:0005509 (abnormal meiotic sister chromatid segregation)
UPHENO:7000106	actin cytoskeleton	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0005665 (abnormal actin cytoskeleton), XPO:0131667 (abnormal actin cytoskeleton)
