phenotype_id	phenotype_label	upheno_id	upheno_label
PLANP:0000198	abnormal visual system	UPHENO:0003410	visual system phenotype
PLANP:0000653	abnormal tail tip	UPHENO:0003497	post-anal tail tip phenotype
HP:3000047	Abnormal glossopharyngeal nerve morphology	UPHENO:0003582	glossopharyngeal nerve phenotype
XPO:0102839	abnormal glossopharyngeal nerve morphology	UPHENO:0003582	glossopharyngeal nerve phenotype
XPO:0102481	abnormal abducens nerve morphology	UPHENO:0003583	abducens nerve phenotype
ZP:0005415	cardiac ventricle morphology, abnormal	UPHENO:0003828	cardiac ventricle phenotype
HP:0430024	Abnormality of external jugular vein	UPHENO:0004049	external jugular vein phenotype
HP:3000062	Abnormal internal carotid artery morphology	UPHENO:0004100	internal carotid artery phenotype
PLANP:0000383	abnormal cement gland	UPHENO:0004183	embryonic cement gland phenotype
PLANP:0000270	abnormal primordium	UPHENO:0004482	primordium phenotype
PLANP:0000317	abnormal esophagus	UPHENO:0004486	esophagus phenotype
WBPhenotype:0000652	sensory system variant	UPHENO:0004494	sensory system phenotype
PLANP:0000456	abnormal nerve	UPHENO:0004508	nerve phenotype
PLANP:0000238	abnormal central nervous system	UPHENO:0004521	central nervous system phenotype
PLANP:0000199	abnormal nervous system	UPHENO:0004523	nervous system phenotype
PLANP:0000427	abnormal epidermis	UPHENO:0004537	skin epidermis phenotype
XPO:0102207	abnormal diencephalon morphology	UPHENO:0004618	diencephalon phenotype
MP:0000846	abnormal medulla oblongata morphology	UPHENO:0004619	medulla oblongata phenotype
PLANP:0000179	abnormal ovary	UPHENO:0004708	ovary phenotype
PLANP:0000023	abnormal oviduct	UPHENO:0004709	oviduct phenotype
MP:0004289	abnormal bony labyrinth	UPHENO:0004711	bony labyrinth phenotype
HP:0003063	obsolete Abnormality of the humerus	UPHENO:0004726	humerus phenotype
PLANP:0000125	abnormal optic chiasm	UPHENO:0004794	optic chiasma phenotype
PLANP:0000289	abnormal embryo	UPHENO:0004900	embryo phenotype
WBPhenotype:0000362	blastocoel variant	UPHENO:0004991	blastocele phenotype
PLANP:0000462	abnormal blastema	UPHENO:0004993	blastema phenotype
XPO:0101671	abnormal olfactory bulb morphology	UPHENO:0005010	olfactory bulb phenotype
MP:0012180	abnormal somatic mesoderm morphology	UPHENO:0005079	somatic layer of lateral plate mesoderm phenotype
MP:0012179	abnormal splanchnic mesoderm morphology	UPHENO:0005080	splanchnic layer of lateral plate mesoderm phenotype
PLANP:0000046	abnormal eye	UPHENO:0005097	camera-type eye phenotype
MP:0006055	abnormal vascular endothelial cell morphology	UPHENO:0005115	cardiovascular system endothelium phenotype
PLANP:0000365	abnormal peripheral nervous system	UPHENO:0005116	peripheral nervous system phenotype
PLANP:0000665	abnormal epithelium	UPHENO:0005141	epithelium phenotype
PLANP:0000138	abnormal extraembryonic structure	UPHENO:0005166	extraembryonic structure phenotype
MP:0003728	abnormal retina photoreceptor layer morphology	UPHENO:0005207	photoreceptor layer of retina phenotype
ZP:0005993	retinal photoreceptor layer morphology, abnormal	UPHENO:0005207	photoreceptor layer of retina phenotype
MP:0010865	prenatal growth retardation	UPHENO:0005642	decreased embryo development
MP:0001156	abnormal spermatogenesis	UPHENO:0005651	decreased spermatogenesis
MP:0006138	congestive heart failure	UPHENO:0005931	decreased heart contraction
ZP:0004475	thrombocyte shape, abnormal	UPHENO:0005985	shape of platelet phenotype
PLANP:0000524	wide head	UPHENO:0006222	increased width of head
MP:0008159	increased diameter of fibula	UPHENO:0006291	increased width of fibula
FYPO:0000287	abnormal subcellular component	UPHENO:0006889	cellular_component phenotype
FBcv:0007505	increased body weight	UPHENO:0008312	increased multicellular organism mass
XPO:0126071	absent head mesenchyme	UPHENO:0008436	absent head mesenchyme
XPO:0126249	absent roof plate	UPHENO:0008462	absent roof plate
XPO:0125415	absent adenohypophysis	UPHENO:0008478	absent adenohypophysis
XPO:0125303	absent subcommissural organ	UPHENO:0008555	absent subcommissural organ
HP:0011072	Rootless teeth	UPHENO:0008608	absent tooth root
HP:0012873	Absent vas deferens	UPHENO:0008627	absent vas deferens
XPO:0125782	absent oviduct	UPHENO:0008648	absent fallopian tube
HP:0009776	Adactyly	UPHENO:0008668	absent digit
HP:0012386	Absent hallux	UPHENO:0008676	absent pedal digit 1
XPO:0125080	absent periosteum	UPHENO:0008702	absent periosteum
XPO:0126118	absent oval window	UPHENO:0008731	absent oval window
XPO:0125616	absent lateral semicircular canal	UPHENO:0008774	absent lateral semicircular canal
XPO:0126148	absent posterior semicircular canal	UPHENO:0008779	absent posterior semicircular canal
HP:0030261	Absent penis	UPHENO:0008782	absent penis
XPO:0125594	absent anterior commissure	UPHENO:0008862	absent anterior commissure
XPO:0126157	absent posterior commissure	UPHENO:0008863	absent posterior commissure
HP:0033646	Absent hippocampal commissure	UPHENO:0008895	absent hippocampal commissure
XPO:0125529	absent sinus venosus	UPHENO:0008938	absent sinus venosus
HP:6000328	Absent zona pellucida	UPHENO:0008989	absent zona pellucida
HP:0031569	Absent aortic valve cusps	UPHENO:0009022	absent aortic valve cusp
PLANP:0000529	loss of head	UPHENO:0009090	absent head
PLANP:0000515	loss of eyes	UPHENO:0009105	absent camera-type eye
HP:0010469	Absent testis	UPHENO:0009154	absent testis
HP:0031046	Absent soft palate	UPHENO:0009241	absent soft palate
HP:0012730	Aglossia	UPHENO:0009249	absent tongue
HP:0100257	Ectrodactyly	UPHENO:0009278	absent digit 2, 3 or 4
XPO:0103900	absent foot	UPHENO:0009321	absent skeleton of pes
XPO:0125024	absent stapes	UPHENO:0009322	absent stapes bone
XPO:0103285	absent hand	UPHENO:0009324	absent skeleton of manus
MP:0014110	absent ventral pancreas	UPHENO:0009550	absent ventral pancreatic bud
MP:0014112	absent dorsal pancreas	UPHENO:0009555	absent dorsal pancreatic bud
PLANP:0000533	loss of tail	UPHENO:0009582	absent post-anal tail
PLANP:0000794	increased pigmentation of the epidermis	UPHENO:0010671	increased pigmentation in the skin epidermis
PLANP:0000809	increased pigmentation of the head	UPHENO:0010703	increased pigmentation in the head
PLANP:0000793	increased pigmentation of the eyes	UPHENO:0010721	increased pigmentation in the camera-type eye
WBPhenotype:0001264	peroxisome physiology variant	UPHENO:0010746	peroxisome function phenotype
FBcv:0007504	abnormal body weight	UPHENO:0010795	multicellular organism mass phenotype
ZP:0149279	liver weight, abnormal	UPHENO:0010830	liver mass phenotype
ZP:0104198	brain weight, abnormal	UPHENO:0010849	brain mass phenotype
ZP:0146735	heart weight, abnormal	UPHENO:0010859	heart mass phenotype
HP:0030304	Abnormal number of vertebrae	UPHENO:0011522	number of anatomical enitites of type vertebra phenotype
HP:6000156	Pancreatic atrophy	UPHENO:0014017	pancreas atrophy
MP:0030003	hippocampus atrophy	UPHENO:0014082	hippocampal formation atrophy
HP:0001408	Bile duct proliferation	UPHENO:0014246	increased number of bile duct
HP:0001747	Accessory spleen	UPHENO:0014335	increased number of spleen
HP:0033766	Polymelia	UPHENO:0014341	increased number of limb
HP:0030789	Excessive cerumen	UPHENO:0014365	increased number of cerumen
PLANP:0000536	decreased pigmentation of the epidermis	UPHENO:0018531	decreased pigmentation in the skin epidermis
PLANP:0000519	decreased pigmentation of the eyes	UPHENO:0018553	decreased pigmentation in the camera-type eye
PLANP:0000808	decreased pigmentation of the head	UPHENO:0018603	decreased pigmentation in the head
XPO:0125754	absent endolymphatic duct	UPHENO:0025130	absent endolymphatic duct in the internal ear
XPO:0131534	absent mandibular nerve	UPHENO:0025213	absent mandibular nerve in the trigeminal nerve
XPO:0125233	absent ureter	UPHENO:0025270	absent ureter in the pelvic region element
XPO:0125468	absent upper jaw	UPHENO:0025333	absent maxilla in the skeleton of upper jaw
XPO:0125890	absent neurohypophysis	UPHENO:0025418	absent neurohypophysis in the pituitary gland
XPO:0125239	absent ciliary body	UPHENO:0025515	absent ciliary body in the anterior uvea
XPO:0126252	absent facial nerve	UPHENO:0025530	absent facial nerve in the cranial nerve
XPO:0125241	absent vestibulocochlear nerve	UPHENO:0025532	absent vestibulocochlear nerve in the cranial nerve
HP:0001126	Cryptophthalmos	UPHENO:0025568	absent palpebral fissure in the ocular surface region
XPO:0125672	absent pubis	UPHENO:0025755	absent pubis in the pelvic region element
XPO:0124849	absent ilium	UPHENO:0025757	absent ilium in the pelvic region element
XPO:0125448	absent ileum	UPHENO:0025959	absent ileum in the small intestine
HP:0033977	Talar aplasia	UPHENO:0025992	absent talus in the tarsal bone
XPO:0125996	absent olfactory nerve	UPHENO:0025996	absent olfactory nerve in the cranial nerve
XPO:0125845	absent enamel	UPHENO:0026070	absent enamel in the calcareous tooth
HP:0011457	Loss of eyelashes	UPHENO:0026167	absent eyelash in the eyelid
XPO:0125301	absent anterior semicircular canal	UPHENO:0026341	absent anterior semicircular canal in the osseus semicircular canal
XPO:0125876	absent third ventricle	UPHENO:0026446	absent third ventricle in the brain ventricle
HP:0030716	Acrania	UPHENO:0026540	absent cranium in the skeletal system
HP:0008707	Absent scrotum	UPHENO:0026575	absent scrotum in the reproductive system
XPO:0125183	absent auditory tube	UPHENO:0026581	absent pharyngotympanic tube in the middle ear
XPO:0125885	absent ethmoid bone	UPHENO:0026745	absent ethmoid bone in the cranium
XPO:0124896	absent right ventricle	UPHENO:0026901	absent heart in the heart right ventricle
XPO:0126034	absent vagus nerve	UPHENO:0027023	absent vagus nerve in the cranial nerve
FYPO:0000654	catalytic activity phenotype	UPHENO:0031742	catalytic activity phenotype
FYPO:0000661	abnormal catalytic activity	UPHENO:0031742	catalytic activity phenotype
PHIPO:0000432	catalytic activity phenotype	UPHENO:0031742	catalytic activity phenotype
FYPO:0000707	abnormal molecular function	UPHENO:0031743	molecular_function phenotype
MP:0011592	abnormal catalase activity	UPHENO:0031745	catalase activity phenotype
HP:0030001	Lagophthalmos	UPHENO:0033569	incomplete closing of the camera-type eye
MP:0021208	median cleft palate	UPHENO:0033617	incomplete closing of the median palatine suture
MP:0000111	cleft palate	UPHENO:0033635	incomplete closing of the secondary palate
MP:0005262	coloboma	UPHENO:0033643	incomplete closing of the eyeball of camera-type eye
HP:0001284	Areflexia	UPHENO:0034031	absent reflex
FYPO:0001375	abolished protein localization	UPHENO:0034055	absent protein localization
MP:0004119	hypokalemia	UPHENO:0034199	decreased level of potassium atom in blood
HP:0031817	Decreased circulating parathyroid hormone level	UPHENO:0034201	decreased level of parathyroid hormone in blood
MP:0005419	decreased circulating serum albumin level	UPHENO:0034249	decreased level of albumin in blood
MP:0000198	decreased circulating phosphate level	UPHENO:0034253	decreased level of phosphate in blood
HP:0030341	Decreased circulating follicle stimulating hormone concentration	UPHENO:0034277	decreased level of Follicle stimulating hormone in blood
HP:6000115	Decreased urine creatinine level	UPHENO:0034329	decreased level of creatinine in urine
HP:0031507	Decreased circulating T4 concentration	UPHENO:0034359	decreased level of thyroxine in blood
HP:0040299	Decreased circulating free fatty acid level	UPHENO:0034422	decreased level of fatty acid in blood
MP:0002902	decreased urine phosphate level	UPHENO:0034440	decreased level of phosphate in urine
MP:0031206	hypolipidemia	UPHENO:0034466	decreased level of lipid in blood
MP:0014162	decreased circulating cortisol level	UPHENO:0034499	decreased level of cortisol in blood
MP:0008805	decreased circulating amylase level	UPHENO:0034509	decreased level of active alpha-amylase isozyme (human) in blood
HP:0008887	Adipose tissue loss	UPHENO:0035132	decreased number of adipose tissue in the multicellular organism
HP:0000483	Astigmatism	UPHENO:0041079	asymmetrically curved cornea
HP:0011590	Double aortic arch	UPHENO:0041093	split arch of aorta
ZP:0002314	head shape, abnormal	UPHENO:0041100	shape of head phenotype
HP:0007807	Optic nerve compression	UPHENO:0041105	flattened cranial nerve II
HP:0000325	Triangular face	UPHENO:0041119	triangular face
HP:0012385	Camptodactyly	UPHENO:0041132	bent digit
HP:0001999	Abnormal facial shape	UPHENO:0041147	shape of face phenotype
HP:0000926	Platyspondyly	UPHENO:0041185	flattened vertebra
HP:0002647	Aortic dissection	UPHENO:0041198	split aorta
HP:0001734	Annular pancreas	UPHENO:0041211	ring shaped pancreas
HP:0012327	Celiac artery compression	UPHENO:0041235	flattened celiac artery
MP:0021137	abnormal wedge-shaped vertebrae	UPHENO:0041381	cuneate vertebra
MP:0012514	pectus excavatum	UPHENO:0041400	concave sternum
MP:0001344	blepharoptosis	UPHENO:0041644	drooping eyelid
HP:0025201	Abnormal circulating apolipoprotein concentration	UPHENO:0046306	apolipoprotein level phenotype
FYPO:0000834	altered protein level	UPHENO:0046362	protein level phenotype
HP:0040086	Abnormal prolactin level	UPHENO:0046365	prolactin level phenotype
HP:0031097	Abnormal thyroid-stimulating hormone level	UPHENO:0046372	thyroid stimulating hormone level phenotype
HP:0001156	Brachydactyly	UPHENO:0046411	decreased length of digit
HP:0034772	Decreased skull base length	UPHENO:0046452	decreased length of basicranium
PLANP:0000521	short tail	UPHENO:0046558	decreased length of post-anal tail
WBPhenotype:0001489	gubernaculum morphology variant	UPHENO:0047295	dysgenesis of the gubernaculum (male or female)
XPO:0102010	abnormal perichondrium morphology	UPHENO:0047320	dysgenesis of the perichondrium
MP:0000808	abnormal hippocampus development	UPHENO:0047366	dysgenesis of the hippocampal formation
HP:0007543	obsolete Epidermal hyperkeratosis	UPHENO:0047838	increased thickness of the stratum corneum of epidermis
HP:0030939	Palpebral thickening	UPHENO:0047875	increased thickness of the eyelid
FYPO:0003435	increased ornithine carbamoyltransferase activity	UPHENO:0048655	increased ornithine carbamoyltransferase activity
FYPO:0007364	increased pyruvate kinase activity	UPHENO:0048658	increased pyruvate kinase activity
FYPO:0004049	increased glutathione peroxidase activity	UPHENO:0048664	increased glutathione peroxidase activity
FYPO:0005175	increased catalase activity	UPHENO:0048668	increased catalase activity
FYPO:0007041	increased alkaline phosphatase activity	UPHENO:0048672	increased alkaline phosphatase activity
FYPO:0000662	increased catalytic activity	UPHENO:0048683	increased catalytic activity
FYPO:0001888	substance absent from cell	UPHENO:0048687	absent chemical entity
FYPO:0000990	increased level of substance in cell	UPHENO:0048707	increased level of chemical entity
DDPHENO:0001376	increased glycogen level	UPHENO:0048725	increased level of glycogen
DDPHENO:0000536	increased glutamate level	UPHENO:0048732	increased level of glutamic acid
HP:0002925	Elevated circulating thyroid-stimulating hormone concentration	UPHENO:0048740	increased level of thyroid stimulating hormone
HP:0006288	Advanced eruption of teeth	UPHENO:0049436	premature tooth eruption
MP:0001845	abnormal inflammatory response	UPHENO:0049584	inflammatory response phenotype
FYPO:0005447	abnormal biological process	UPHENO:0049587	biological_process phenotype
MP:0021121	abnormal rhythmic behavior	UPHENO:0049591	rhythmic behavior phenotype
FYPO:0001797	abnormal translation	UPHENO:0049594	translation phenotype
MP:0013272	abnormal translation	UPHENO:0049594	translation phenotype
FYPO:0007873	abnormal exocytosis	UPHENO:0049604	exocytosis phenotype
MP:0020848	abnormal exocytosis	UPHENO:0049604	exocytosis phenotype
MP:0002566	abnormal sexual interaction	UPHENO:0049615	mating phenotype
FYPO:0000151	abnormal meiotic chromosome segregation	UPHENO:0049621	meiotic chromosome segregation phenotype
MP:0004924	abnormal behavior	UPHENO:0049622	behavior phenotype
MP:0020467	abnormal circadian behavior	UPHENO:0049633	circadian behavior phenotype
MP:0020846	abnormal cell motility	UPHENO:0049634	cell motility phenotype
MP:0008942	abnormal induced cell death	UPHENO:0049636	positive regulation of programmed cell death phenotype
FYPO:0000063	abnormal DNA recombination	UPHENO:0049639	DNA recombination phenotype
MP:0003091	abnormal cell migration	UPHENO:0049643	cell migration phenotype
FYPO:0001440	abnormal protein complex localization	UPHENO:0049649	protein-containing complex localization phenotype
WBPhenotype:0000739	DNA damage response variant	UPHENO:0049671	DNA damage response phenotype
FYPO:0000141	abnormal mitotic sister chromatid segregation	UPHENO:0049680	mitotic sister chromatid segregation phenotype
MP:0001928	abnormal ovulation	UPHENO:0049705	ovulation phenotype
HP:0012433	Abnormal social behavior	UPHENO:0049713	social behavior phenotype
MP:0002557	abnormal social/conspecific interaction behavior	UPHENO:0049713	social behavior phenotype
MP:0013245	abnormal lipid metabolism	UPHENO:0049723	lipid metabolic process phenotype
FYPO:0000149	transport phenotype	UPHENO:0049724	transport phenotype
FYPO:0001720	abnormal transport	UPHENO:0049724	transport phenotype
PHIPO:0000256	transport phenotype	UPHENO:0049724	transport phenotype
FYPO:0000186	abnormal cell division	UPHENO:0049729	cell division phenotype
MP:0021013	abnormal synaptic vesicle endocytosis	UPHENO:0049741	synaptic vesicle endocytosis phenotype
FYPO:0002494	abnormal protein modification	UPHENO:0049744	protein modification process phenotype
FYPO:0000517	abnormal nucleus positioning	UPHENO:0049754	nucleus localization phenotype
MP:0001931	abnormal oogenesis	UPHENO:0049761	oocyte development phenotype
FYPO:0006329	abnormal organelle localization	UPHENO:0049769	organelle localization phenotype
MP:0001431	abnormal eating behavior	UPHENO:0049798	eating behavior phenotype
FYPO:0000054	abnormal microtubule cytoskeleton organization	UPHENO:0049808	microtubule cytoskeleton organization phenotype
HP:4000056	Abnormal apoptosis	UPHENO:0049831	apoptotic process phenotype
MP:0006009	abnormal neuronal migration	UPHENO:0049852	neuron migration phenotype
FYPO:0000029	abnormal chromosome segregation	UPHENO:0049866	chromosome segregation phenotype
FYPO:0006551	abnormal gene expression	UPHENO:0049870	gene expression phenotype
FYPO:0000860	abnormal metabolic process	UPHENO:0049873	metabolic process phenotype
FYPO:0007484	abnormal microtubule nucleation	UPHENO:0049905	microtubule nucleation phenotype
MP:0011617	abnormal habituation	UPHENO:0049916	habituation phenotype
FYPO:0000159	abnormal chromosome condensation	UPHENO:0049918	chromosome condensation phenotype
FYPO:0007111	abnormal microtubule depolymerization	UPHENO:0049921	microtubule depolymerization phenotype
FYPO:0000052	abnormal meiotic cell cycle	UPHENO:0049929	meiotic cell cycle process phenotype
FYPO:0000337	abnormal mitosis	UPHENO:0049930	mitotic cell cycle process phenotype
FYPO:0000802	abnormal cytoskeleton organization	UPHENO:0049931	cytoskeleton organization phenotype
FYPO:0001370	abnormal protein localization	UPHENO:0049934	protein localization phenotype
FYPO:0002333	protein localization phenotype	UPHENO:0049934	protein localization phenotype
PHIPO:0000237	protein localization phenotype	UPHENO:0049934	protein localization phenotype
WBPhenotype:0000436	protein subcellular localization variant	UPHENO:0049934	protein localization phenotype
FYPO:0004803	abnormal actin cytoskeleton organization	UPHENO:0049939	actin cytoskeleton organization phenotype
FYPO:0005573	abnormal nuclear transport	UPHENO:0049948	nuclear transport phenotype
FBcv:0000430	abnormal cell polarity	UPHENO:0049950	establishment or maintenance of cell polarity phenotype
FYPO:0000011	abnormal cell cycle	UPHENO:0049952	cell cycle phenotype
FYPO:0000120	abnormal spindle	UPHENO:0049959	spindle organization phenotype
FYPO:0002275	abnormal protein degradation	UPHENO:0049962	protein catabolic process phenotype
FYPO:0000162	abnormal cellular response to stress	UPHENO:0049964	cellular response to stress phenotype
FYPO:0002803	abnormal vacuole organization	UPHENO:0049967	vacuole organization phenotype
FYPO:0001872	abnormal cell adhesion	UPHENO:0049969	cell adhesion phenotype
MP:0003566	abnormal cell adhesion	UPHENO:0049969	cell adhesion phenotype
MP:0003861	abnormal nervous system development	UPHENO:0049975	nervous system development phenotype
MP:0011959	abnormal eye posterior chamber depth	UPHENO:0049978	programmed cell death phenotype
MP:0014355	abnormal programmed cell death	UPHENO:0049978	programmed cell death phenotype
FYPO:0000336	abnormal cellular component assembly	UPHENO:0050001	cellular component assembly phenotype
MP:0002062	abnormal associative learning	UPHENO:0050002	associative learning phenotype
FYPO:0002862	abnormal cell growth	UPHENO:0050012	cell growth phenotype
FYPO:0000334	cellular component organization phenotype	UPHENO:0050021	cellular component organization phenotype
FYPO:0000335	abnormal cellular component organization	UPHENO:0050021	cellular component organization phenotype
PHIPO:0000407	cellular component organization phenotype	UPHENO:0050021	cellular component organization phenotype
MP:0000313	abnormal cell death	UPHENO:0050027	cell death phenotype
MP:0001695	abnormal gastrulation	UPHENO:0050028	gastrulation phenotype
FYPO:0001553	abnormal RNA processing	UPHENO:0050030	RNA processing phenotype
HP:0033334	Abnormal embryonic development	UPHENO:0050034	embryo development phenotype
MP:0030950	abnormal synaptic vesicle exocytosis	UPHENO:0050047	synaptic vesicle exocytosis phenotype
MP:0008546	abnormal vesicle-mediated transport	UPHENO:0050050	vesicle-mediated transport phenotype
FYPO:0000447	abnormal protein-containing complex assembly	UPHENO:0050053	protein-containing complex assembly phenotype
MP:0010381	abnormal dosage compensation	UPHENO:0050071	sex-chromosome dosage compensation phenotype
FYPO:0000032	abnormal cytokinesis	UPHENO:0050076	cytokinesis phenotype
MP:0013289	abnormal mitotic cytokinesis	UPHENO:0050076	cytokinesis phenotype
MP:0003866	abnormal defecation	UPHENO:0050078	defecation phenotype
MP:0001765	abnormal ion homeostasis	UPHENO:0050080	monoatomic ion homeostasis phenotype
MP:0009450	abnormal axon fasciculation	UPHENO:0050083	axonal fasciculation phenotype
MP:0002961	abnormal axon guidance	UPHENO:0050092	axon guidance phenotype
HP:0012244	Abnormal sex determination	UPHENO:0050096	sex determination phenotype
WBPhenotype:0001864	protein transport variant	UPHENO:0050102	protein transport phenotype
FYPO:0000140	cellular metabolism phenotype	UPHENO:0050113	obsolete cellular metabolic process phenotype
MP:0002211	abnormal primary sex determination	UPHENO:0050123	gonad development phenotype
FYPO:0002677	abnormal protein phosphorylation	UPHENO:0050125	protein phosphorylation phenotype
MP:0020852	abnormal olfactory behavior	UPHENO:0050130	olfactory behavior phenotype
FYPO:0002274	abnormal protein metabolic process	UPHENO:0050131	protein metabolic process phenotype
MP:0005164	abnormal response to injury	UPHENO:0050133	response to wounding phenotype
FYPO:0003057	abnormal RNA localization	UPHENO:0050218	RNA localization phenotype
FYPO:0000163	abnormal macroautophagy	UPHENO:0050243	macroautophagy phenotype
ZP:0007906	swimming behavior abnormal, abnormal	UPHENO:0050289	swimming behavior phenotype
FYPO:0000059	abnormal mitotic cell cycle	UPHENO:0050313	mitotic cell cycle phenotype
MP:0000920	abnormal myelination	UPHENO:0050406	myelination phenotype
MP:0002078	abnormal glucose homeostasis	UPHENO:0050433	glucose homeostasis phenotype
MP:0001392	abnormal locomotor behavior	UPHENO:0050571	locomotory behavior phenotype
WBPhenotype:0000643	locomotion variant	UPHENO:0050571	locomotory behavior phenotype
MP:0020477	abnormal locomotor circadian rhythm	UPHENO:0050594	locomotor rhythm phenotype
MP:0021120	abnormal visual behavior	UPHENO:0050596	visual behavior phenotype
MP:0001963	abnormal hearing physiology	UPHENO:0050625	sensory perception of sound phenotype
MP:0011082	abnormal gastrointestinal motility	UPHENO:0050696	gastro-intestinal system smooth muscle contraction phenotype
MP:0000269	abnormal heart looping	UPHENO:0050811	heart looping phenotype
FYPO:0000119	abnormal spindle assembly	UPHENO:0051009	spindle assembly phenotype
WBPhenotype:0001787	phototaxis defective	UPHENO:0051095	phototaxis phenotype
FYPO:0006567	abnormal DNA repair	UPHENO:0051124	DNA repair phenotype
MP:0002118	abnormal lipid homeostasis	UPHENO:0051254	lipid homeostasis phenotype
PLANP:0000094	abnormal cell-cell adhesion	UPHENO:0051300	cell-cell adhesion phenotype
MP:0004085	abnormal heartbeat	UPHENO:0051311	heart contraction phenotype
HP:0010977	Abnormal phagocytosis	UPHENO:0051356	phagocytosis phenotype
MP:0001688	abnormal somite development	UPHENO:0051395	somitogenesis phenotype
FYPO:0000177	abnormal mitotic spindle assembly	UPHENO:0051482	mitotic spindle assembly phenotype
FYPO:0000813	abnormal plasma membrane organization	UPHENO:0051490	plasma membrane organization phenotype
FYPO:0000809	abnormal mitochondrion organization	UPHENO:0051496	mitochondrion organization phenotype
HP:0020129	Abnormal urine protein level	UPHENO:0051673	urine protein level phenotype
MP:0005278	abnormal cholesterol homeostasis	UPHENO:0051722	blood cholesterol level phenotype
HP:0025745	Abnormal urine amino acid level	UPHENO:0051739	urine amino acid level phenotype
HP:0031505	Abnormal circulating T4 concentration	UPHENO:0051811	blood thyroxine level phenotype
HP:0040300	Abnormal circulating free fatty acid concentration	UPHENO:0051881	blood fatty acid level phenotype
MP:0008804	abnormal circulating amylase level	UPHENO:0051989	blood active alpha-amylase isozyme (human) level phenotype
FYPO:0002679	decreased protein phosphorylation	UPHENO:0052798	decreased qualitatively protein phosphorylation
MP:0031428	lens dislocation	UPHENO:0053594	localised lens of camera-type eye
HP:0031086	Ectopic ovary	UPHENO:0053640	localised ovary
HP:6000460	Ectopic testis	UPHENO:0053644	localised testis
MP:0002286	cryptorchism	UPHENO:0053644	localised testis
HP:0002010	Narrow maxilla	UPHENO:0054572	decreased width of the maxilla
