?baseClass	?baseLabel	?equivalentClass	?equivalentLabel
<http://purl.obolibrary.org/obo/HP_0011623>	"Muscular ventricular septal defect"	<http://purl.obolibrary.org/obo/MP_0010420>	"muscular ventricular septal defect"
<http://purl.obolibrary.org/obo/HP_0000252>	"Microcephaly"	<http://purl.obolibrary.org/obo/MP_0000433>	"microcephaly"
<http://purl.obolibrary.org/obo/HP_0040195>	"Decreased head circumference"	<http://purl.obolibrary.org/obo/MP_0000433>	"microcephaly"
<http://purl.obolibrary.org/obo/HP_0002633>	"Vasculitis"	<http://purl.obolibrary.org/obo/MP_0001864>	"vasculitis"
<http://purl.obolibrary.org/obo/HP_0012085>	"Pyuria"	<http://purl.obolibrary.org/obo/MP_0011420>	"pyuria"
<http://purl.obolibrary.org/obo/HP_0100249>	"Calcification of muscles"	<http://purl.obolibrary.org/obo/MP_0003199>	"calcified muscle"
<http://purl.obolibrary.org/obo/HP_0012094>	"Abnormal pancreas size"	<http://purl.obolibrary.org/obo/MP_0009106>	"abnormal pancreas size"
<http://purl.obolibrary.org/obo/HP_0000096>	"Glomerulosclerosis"	<http://purl.obolibrary.org/obo/MP_0005264>	"glomerulosclerosis"
<http://purl.obolibrary.org/obo/HP_0007268>	"Aprosencephaly"	<http://purl.obolibrary.org/obo/MP_0006291>	"aprosencephaly"
<http://purl.obolibrary.org/obo/HP_0002904>	"Hyperbilirubinemia"	<http://purl.obolibrary.org/obo/MP_0005344>	"increased circulating bilirubin level"
<http://purl.obolibrary.org/obo/HP_0008682>	"Acute tubular necrosis"	<http://purl.obolibrary.org/obo/MP_0004154>	"renal tubular necrosis"
<http://purl.obolibrary.org/obo/HP_0012647>	"Abnormal inflammatory response"	<http://purl.obolibrary.org/obo/MP_0001845>	"abnormal inflammatory response"
<http://purl.obolibrary.org/obo/HP_0006568>	"Increased hepatic glycogen content"	<http://purl.obolibrary.org/obo/MP_0010400>	"increased liver glycogen level"
<http://purl.obolibrary.org/obo/HP_0011279>	"Abnormality of urine bicarbonate concentration"	<http://purl.obolibrary.org/obo/MP_0011461>	"abnormal urine bicarbonate level"
<http://purl.obolibrary.org/obo/HP_0002913>	"Myoglobinuria"	<http://purl.obolibrary.org/obo/MP_0006034>	"myoglobinuria"
<http://purl.obolibrary.org/obo/HP_0011772>	"Abnormality of thyroid morphology"	<http://purl.obolibrary.org/obo/MP_0000681>	"abnormal thyroid gland morphology"
<http://purl.obolibrary.org/obo/HP_0008188>	"Thyroid dysgenesis"	<http://purl.obolibrary.org/obo/MP_0000681>	"abnormal thyroid gland morphology"
<http://purl.obolibrary.org/obo/HP_0011556>	"Double inlet right ventricle"	<http://purl.obolibrary.org/obo/MP_0010434>	"double inlet heart right ventricle"
<http://purl.obolibrary.org/obo/HP_0011380>	"Morphological abnormality of the semicircular canal"	<http://purl.obolibrary.org/obo/MP_0002428>	"abnormal semicircular canal morphology"
<http://purl.obolibrary.org/obo/HP_0003026>	"Short long bone"	<http://purl.obolibrary.org/obo/MP_0004686>	"decreased length of long bones"
<http://purl.obolibrary.org/obo/HP_0001107>	"Ocular albinism"	<http://purl.obolibrary.org/obo/MP_0006159>	"ocular albinism"
<http://purl.obolibrary.org/obo/HP_0001747>	"Accessory spleen"	<http://purl.obolibrary.org/obo/HP_0001748>	"Polysplenia"
<http://purl.obolibrary.org/obo/HP_0000362>	"Otosclerosis"	<http://purl.obolibrary.org/obo/MP_0004897>	"otosclerosis"
<http://purl.obolibrary.org/obo/HP_0045057>	"Decreased levels of alpha-fetoprotein"	<http://purl.obolibrary.org/obo/MP_0012601>	"decreased alpha-fetoprotein level"
<http://purl.obolibrary.org/obo/HP_0012612>	"Abnormal urinary sulfate concentration"	<http://purl.obolibrary.org/obo/MP_0009471>	"abnormal urine sulfate level"
<http://purl.obolibrary.org/obo/MP_0005180>	"abnormal circulating testosterone level"	<http://purl.obolibrary.org/obo/MP_0011385>	"abnormal testosterone level"
<http://purl.obolibrary.org/obo/HP_0030087>	"Abnormal serum testosterone level"	<http://purl.obolibrary.org/obo/MP_0011385>	"abnormal testosterone level"
<http://purl.obolibrary.org/obo/HP_0030345>	"Abnormal circulating luteinizing hormone level"	<http://purl.obolibrary.org/obo/MP_0003969>	"abnormal luteinizing hormone level"
<http://purl.obolibrary.org/obo/HP_0100961>	"Enlarged hippocampus"	<http://purl.obolibrary.org/obo/MP_0008282>	"enlarged hippocampus"
<http://purl.obolibrary.org/obo/HP_0030010>	"Hydrometrocolpos"	<http://purl.obolibrary.org/obo/MP_0003537>	"hydrometrocolpos"
<http://purl.obolibrary.org/obo/HP_0001002>	"Decreased subcutaneous fat"	<http://purl.obolibrary.org/obo/HP_0003758>	"Reduced subcutaneous adipose tissue"
<http://purl.obolibrary.org/obo/HP_0001643>	"Patent ductus arteriosus"	<http://purl.obolibrary.org/obo/MP_0003139>	"patent ductus arteriosus"
<http://purl.obolibrary.org/obo/HP_0002298>	"Absent hair"	<http://purl.obolibrary.org/obo/MP_0003815>	"hairless"
<http://purl.obolibrary.org/obo/HP_0001006>	"Hypotrichosis"	<http://purl.obolibrary.org/obo/MP_0003815>	"hairless"
<http://purl.obolibrary.org/obo/HP_0002533>	"Abnormal posturing"	<http://purl.obolibrary.org/obo/MP_0001504>	"abnormal posture"
<http://purl.obolibrary.org/obo/HP_0011942>	"Increased urinary sulfite"	<http://purl.obolibrary.org/obo/HP_0012613>	"Increased urinary sulfate"
<http://purl.obolibrary.org/obo/HP_0005111>	"Dilatation of the ascending aorta"	<http://purl.obolibrary.org/obo/MP_0010470>	"ascending aorta dilation"
<http://purl.obolibrary.org/obo/HP_0010824>	"Abnormality of the fifth cranial nerve"	<http://purl.obolibrary.org/obo/MP_0001065>	"abnormal trigeminal nerve morphology"
<http://purl.obolibrary.org/obo/HP_0000039>	"Epispadias"	<http://purl.obolibrary.org/obo/MP_0003598>	"epispadia"
<http://purl.obolibrary.org/obo/HP_0007971>	"Lamellar cataract"	<http://purl.obolibrary.org/obo/MP_0010262>	"lamellar cataracts"
<http://purl.obolibrary.org/obo/HP_0010920>	"Zonular cataract"	<http://purl.obolibrary.org/obo/MP_0010262>	"lamellar cataracts"
<http://purl.obolibrary.org/obo/HP_0008753>	"Aplasia of the epiglottis"	<http://purl.obolibrary.org/obo/MP_0013261>	"absent epiglottis"
<http://purl.obolibrary.org/obo/HP_0006485>	"Agenesis of incisor"	<http://purl.obolibrary.org/obo/MP_0000125>	"absent incisors"
<http://purl.obolibrary.org/obo/HP_0000483>	"Astigmatism"	<http://purl.obolibrary.org/obo/MP_0006151>	"astigmatism"
<http://purl.obolibrary.org/obo/HP_0000777>	"Abnormality of the thymus"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/MP_0000706>	"small thymus"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/MP_0001823>	"thymus hypoplasia"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/HP_0010515>	"Aplasia/Hypoplasia of the thymus"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/HP_0000778>	"Hypoplasia of the thymus"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/MP_0000703>	"abnormal thymus morphology"	<http://purl.obolibrary.org/obo/MP_0002364>	"abnormal thymus size"
<http://purl.obolibrary.org/obo/HP_0100515>	"Pollakisuria"	<http://purl.obolibrary.org/obo/MP_0011535>	"increased urination frequency"
<http://purl.obolibrary.org/obo/HP_0003010>	"Prolonged bleeding time"	<http://purl.obolibrary.org/obo/MP_0005606>	"increased bleeding time"
<http://purl.obolibrary.org/obo/HP_0010701>	"Abnormal immunoglobulin level"	<http://purl.obolibrary.org/obo/MP_0002490>	"abnormal immunoglobulin level"
<http://purl.obolibrary.org/obo/HP_0007027>	"Poorly formed metencephalon"	<http://purl.obolibrary.org/obo/MP_0000847>	"abnormal metencephalon morphology"
<http://purl.obolibrary.org/obo/HP_0012600>	"Abnormal urine chloride concentration"	<http://purl.obolibrary.org/obo/MP_0011458>	"abnormal urine chloride ion level"
<http://purl.obolibrary.org/obo/HP_0012598>	"Abnormal urine potassium concentration"	<http://purl.obolibrary.org/obo/MP_0004820>	"abnormal urine potassium level"
<http://purl.obolibrary.org/obo/HP_0011373>	"Incomplete partition of the cochlea"	<http://purl.obolibrary.org/obo/MP_0003148>	"decreased cochlear coiling"
<http://purl.obolibrary.org/obo/HP_0002171>	"Gliosis"	<http://purl.obolibrary.org/obo/MP_0002183>	"gliosis"
<http://purl.obolibrary.org/obo/HP_0006560>	"Biliary hyperplasia"	<http://purl.obolibrary.org/obo/MP_0004839>	"bile duct hyperplasia"
<http://purl.obolibrary.org/obo/HP_0002307>	"Drooling"	<http://purl.obolibrary.org/obo/HP_0003781>	"Excessive salivation"
<http://purl.obolibrary.org/obo/HP_0005237>	"Degenerative liver disease"	<http://purl.obolibrary.org/obo/MP_0003103>	"liver degeneration"
<http://purl.obolibrary.org/obo/HP_0005537>	"Decreased mean platelet volume"	<http://purl.obolibrary.org/obo/MP_0008935>	"decreased mean platelet volume"
<http://purl.obolibrary.org/obo/HP_0100957>	"Abnormality of the renal medulla"	<http://purl.obolibrary.org/obo/MP_0003014>	"abnormal kidney medulla morphology"
<http://purl.obolibrary.org/obo/HP_0006517>	"Alveolar proteinosis"	<http://purl.obolibrary.org/obo/MP_0010998>	"pulmonary alveolar proteinosis"
<http://purl.obolibrary.org/obo/HP_0002754>	"Osteomyelitis"	<http://purl.obolibrary.org/obo/MP_0005190>	"osteomyelitis"
<http://purl.obolibrary.org/obo/HP_0010775>	"Vascular ring"	<http://purl.obolibrary.org/obo/MP_0010466>	"vascular ring"
<http://purl.obolibrary.org/obo/HP_0040254>	"Decreased size of the clitoris"	<http://purl.obolibrary.org/obo/MP_0003530>	"small clitoris"
<http://purl.obolibrary.org/obo/HP_0000060>	"Clitoral hypoplasia"	<http://purl.obolibrary.org/obo/MP_0003530>	"small clitoris"
<http://purl.obolibrary.org/obo/HP_0012632>	"Abnormal intraocular pressure"	<http://purl.obolibrary.org/obo/MP_0005257>	"abnormal intraocular pressure"
<http://purl.obolibrary.org/obo/HP_0005224>	"Rectal abscess"	<http://purl.obolibrary.org/obo/MP_0003302>	"perirectal abscess"
<http://purl.obolibrary.org/obo/HP_0040215>	"Abnormal circulating insulin level"	<http://purl.obolibrary.org/obo/MP_0001560>	"abnormal circulating insulin level"
<http://purl.obolibrary.org/obo/HP_0030082>	"Abnormal drinking behavior"	<http://purl.obolibrary.org/obo/MP_0001422>	"abnormal drinking behavior"
<http://purl.obolibrary.org/obo/HP_0004311>	"Abnormality of macrophages"	<http://purl.obolibrary.org/obo/MP_0002446>	"abnormal macrophage morphology"
<http://purl.obolibrary.org/obo/HP_0009927>	"Aplasia of the nose"	<http://purl.obolibrary.org/obo/MP_0000450>	"absent snout"
<http://purl.obolibrary.org/obo/HP_0002408>	"Cerebral arteriovenous malformation"	<http://purl.obolibrary.org/obo/MP_0010530>	"cerebral arteriovenous malformation"
<http://purl.obolibrary.org/obo/HP_0009893>	"Telangiectasia of the ear"	<http://purl.obolibrary.org/obo/MP_0004176>	"ear telangiectases"
<http://purl.obolibrary.org/obo/MP_0009275>	"bruising"	<http://purl.obolibrary.org/obo/MP_0009276>	"ecchymosis"
<http://purl.obolibrary.org/obo/HP_0000978>	"Bruising susceptibility"	<http://purl.obolibrary.org/obo/MP_0009276>	"ecchymosis"
<http://purl.obolibrary.org/obo/HP_0012465>	"Elevated hepatic iron concentration"	<http://purl.obolibrary.org/obo/MP_0008807>	"increased liver iron level"
<http://purl.obolibrary.org/obo/HP_0000387>	"Absent earlobe"	<http://purl.obolibrary.org/obo/MP_0003678>	"absent ear lobes"
<http://purl.obolibrary.org/obo/HP_0001746>	"Asplenia"	<http://purl.obolibrary.org/obo/MP_0000690>	"absent spleen"
<http://purl.obolibrary.org/obo/HP_0000845>	"Growth hormone excess"	<http://purl.obolibrary.org/obo/MP_0003506>	"acromegaly"
<http://purl.obolibrary.org/obo/HP_0100879>	"Enlarged ovaries"	<http://purl.obolibrary.org/obo/MP_0004832>	"enlarged ovary"
<http://purl.obolibrary.org/obo/HP_0001967>	"Diffuse mesangial sclerosis"	<http://purl.obolibrary.org/obo/MP_0011353>	"expanded mesangial matrix"
<http://purl.obolibrary.org/obo/HP_0001402>	"Hepatocellular carcinoma"	<http://purl.obolibrary.org/obo/MP_0003331>	"increased hepatocellular carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0002896>	"Neoplasm of the liver"	<http://purl.obolibrary.org/obo/MP_0003331>	"increased hepatocellular carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0001674>	"Complete atrioventricular canal defect"	<http://purl.obolibrary.org/obo/MP_0010413>	"complete atrioventricular septal defect"
<http://purl.obolibrary.org/obo/HP_0011015>	"Abnormality of blood glucose concentration"	<http://purl.obolibrary.org/obo/MP_0000188>	"abnormal circulating glucose level"
<http://purl.obolibrary.org/obo/HP_0011281>	"Abnormality of urine catecholamine concentration"	<http://purl.obolibrary.org/obo/MP_0011478>	"abnormal urine catecholamine level"
<http://purl.obolibrary.org/obo/HP_0001291>	"Abnormality of the cranial nerves"	<http://purl.obolibrary.org/obo/MP_0001056>	"abnormal cranial nerve morphology"
<http://purl.obolibrary.org/obo/HP_0030332>	"Abnormal T cell morphology"	<http://purl.obolibrary.org/obo/MP_0008037>	"abnormal T cell morphology"
<http://purl.obolibrary.org/obo/HP_0002843>	"Abnormality of T cells"	<http://purl.obolibrary.org/obo/MP_0008037>	"abnormal T cell morphology"
<http://purl.obolibrary.org/obo/HP_0000410>	"Mixed hearing impairment"	<http://purl.obolibrary.org/obo/MP_0006327>	"mixed hearing impairment"
<http://purl.obolibrary.org/obo/MP_0004741>	"mixed hearing loss"	<http://purl.obolibrary.org/obo/MP_0006327>	"mixed hearing impairment"
<http://purl.obolibrary.org/obo/HP_0011844>	"Abnormal appendicular skeleton morphology"	<http://purl.obolibrary.org/obo/MP_0009250>	"abnormal appendicular skeleton morphology"
<http://purl.obolibrary.org/obo/HP_0010924>	"Posterior cortical cataract"	<http://purl.obolibrary.org/obo/MP_0010257>	"posterior cortical cataracts"
<http://purl.obolibrary.org/obo/HP_0012517>	"Reduced catalase activity"	<http://purl.obolibrary.org/obo/MP_0011594>	"decreased catalase activity"
<http://purl.obolibrary.org/obo/HP_0004332>	"Abnormality of lymphocytes"	<http://purl.obolibrary.org/obo/MP_0002619>	"abnormal lymphocyte morphology"
<http://purl.obolibrary.org/obo/HP_0011800>	"Midface retrusion"	<http://purl.obolibrary.org/obo/MP_0009855>	"midface retrusion"
<http://purl.obolibrary.org/obo/HP_0030402>	"Abnormal platelet aggregation"	<http://purl.obolibrary.org/obo/MP_0009548>	"abnormal platelet aggregation"
<http://purl.obolibrary.org/obo/HP_0003540>	"Impaired platelet aggregation"	<http://purl.obolibrary.org/obo/MP_0009548>	"abnormal platelet aggregation"
<http://purl.obolibrary.org/obo/HP_0010650>	"Hypoplasia of the premaxilla"	<http://purl.obolibrary.org/obo/MP_0004871>	"premaxilla hypoplasia"
<http://purl.obolibrary.org/obo/MP_0004870>	"small premaxilla"	<http://purl.obolibrary.org/obo/MP_0004871>	"premaxilla hypoplasia"
<http://purl.obolibrary.org/obo/HP_0002410>	"Aqueductal stenosis"	<http://purl.obolibrary.org/obo/MP_0002958>	"cerebral aqueductal stenosis"
<http://purl.obolibrary.org/obo/HP_0004312>	"Abnormality of reticulocytes"	<http://purl.obolibrary.org/obo/MP_0002424>	"abnormal reticulocyte morphology"
<http://purl.obolibrary.org/obo/HP_0000041>	"Chordee"	<http://purl.obolibrary.org/obo/MP_0003555>	"chordee"
<http://purl.obolibrary.org/obo/HP_0100519>	"Anuria"	<http://purl.obolibrary.org/obo/MP_0003624>	"anuria"
<http://purl.obolibrary.org/obo/HP_0100788>	"Fused lips"	<http://purl.obolibrary.org/obo/MP_0009553>	"fused lips"
<http://purl.obolibrary.org/obo/HP_0000185>	"Cleft soft palate"	<http://purl.obolibrary.org/obo/MP_0013546>	"cleft soft palate"
<http://purl.obolibrary.org/obo/HP_0012378>	"Fatigue"	<http://purl.obolibrary.org/obo/MP_0002899>	"fatigue"
<http://purl.obolibrary.org/obo/HP_0004974>	"Coarctation of abdominal aorta"	<http://purl.obolibrary.org/obo/MP_0010525>	"abdominal aorta coarctation"
<http://purl.obolibrary.org/obo/HP_0003231>	"Hypertyrosinemia"	<http://purl.obolibrary.org/obo/MP_0013723>	"increased circulating tyrosine level"
<http://purl.obolibrary.org/obo/HP_0000826>	"Precocious puberty"	<http://purl.obolibrary.org/obo/HP_0100000>	"Early onset of sexual maturation"
<http://purl.obolibrary.org/obo/HP_0000656>	"Ectropion"	<http://purl.obolibrary.org/obo/MP_0006164>	"ectropion"
<http://purl.obolibrary.org/obo/HP_0000089>	"Renal hypoplasia"	<http://purl.obolibrary.org/obo/MP_0002989>	"small kidney"
<http://purl.obolibrary.org/obo/HP_0001947>	"Renal tubular acidosis"	<http://purl.obolibrary.org/obo/MP_0000525>	"renal tubular acidosis"
<http://purl.obolibrary.org/obo/HP_0003351>	"Decreased circulating renin level"	<http://purl.obolibrary.org/obo/MP_0003353>	"decreased circulating renin level"
<http://purl.obolibrary.org/obo/HP_0003097>	"Short femur"	<http://purl.obolibrary.org/obo/MP_0003109>	"short femur"
<http://purl.obolibrary.org/obo/HP_0001635>	"Congestive heart failure"	<http://purl.obolibrary.org/obo/MP_0006138>	"congestive heart failure"
<http://purl.obolibrary.org/obo/HP_0001288>	"Gait disturbance"	<http://purl.obolibrary.org/obo/MP_0001406>	"abnormal gait"
<http://purl.obolibrary.org/obo/HP_0009594>	"Retinal hamartoma"	<http://purl.obolibrary.org/obo/MP_0006183>	"increased retina hamartoma incidence"
<http://purl.obolibrary.org/obo/HP_0000764>	"Peripheral axonal degeneration"	<http://purl.obolibrary.org/obo/HP_0040078>	"Axonal degeneration"
<http://purl.obolibrary.org/obo/HP_0002948>	"Vertebral fusion"	<http://purl.obolibrary.org/obo/MP_0004609>	"vertebral fusion"
<http://purl.obolibrary.org/obo/HP_0003234>	"Decreased plasma carnitine"	<http://purl.obolibrary.org/obo/MP_0003978>	"decreased circulating carnitine level"
<http://purl.obolibrary.org/obo/HP_0009118>	"Aplasia/Hypoplasia of the mandible"	<http://purl.obolibrary.org/obo/HP_0009939>	"Mandibular aplasia"
<http://purl.obolibrary.org/obo/HP_0000347>	"Micrognathia"	<http://purl.obolibrary.org/obo/HP_0009939>	"Mandibular aplasia"
<http://purl.obolibrary.org/obo/HP_0002435>	"Meningocele"	<http://purl.obolibrary.org/obo/HP_0002475>	"Myelomeningocele"
<http://purl.obolibrary.org/obo/HP_0012438>	"Abnormal gallbladder physiology"	<http://purl.obolibrary.org/obo/MP_0005085>	"abnormal gallbladder physiology"
<http://purl.obolibrary.org/obo/HP_0003138>	"Increased blood urea nitrogen"	<http://purl.obolibrary.org/obo/MP_0005565>	"increased blood urea nitrogen level"
<http://purl.obolibrary.org/obo/HP_0002659>	"Increased susceptibility to fractures"	<http://purl.obolibrary.org/obo/MP_0000061>	"fragile skeleton"
<http://purl.obolibrary.org/obo/HP_0100539>	"Periorbital edema"	<http://purl.obolibrary.org/obo/MP_0001788>	"periorbital edema"
<http://purl.obolibrary.org/obo/HP_0008697>	"Hypoplasia of the fallopian tube"	<http://purl.obolibrary.org/obo/MP_0003576>	"oviduct hypoplasia"
<http://purl.obolibrary.org/obo/HP_0003470>	"Paralysis"	<http://purl.obolibrary.org/obo/MP_0000753>	"paralysis"
<http://purl.obolibrary.org/obo/HP_0040086>	"Abnormal prolactin level"	<http://purl.obolibrary.org/obo/MP_0003970>	"abnormal prolactin level"
<http://purl.obolibrary.org/obo/HP_0002714>	"Downturned corners of mouth"	<http://purl.obolibrary.org/obo/MP_0003749>	"down-turned corners of mouth"
<http://purl.obolibrary.org/obo/HP_0008368>	"Tarsal synostosis"	<http://purl.obolibrary.org/obo/MP_0008919>	"fused tarsal bones"
<http://purl.obolibrary.org/obo/HP_0000360>	"Tinnitus"	<http://purl.obolibrary.org/obo/MP_0003741>	"tinnitus"
<http://purl.obolibrary.org/obo/HP_0001539>	"Omphalocele"	<http://purl.obolibrary.org/obo/HP_0001543>	"Gastroschisis"
<http://purl.obolibrary.org/obo/HP_0040078>	"Axonal degeneration"	<http://purl.obolibrary.org/obo/MP_0005405>	"axon degeneration"
<http://purl.obolibrary.org/obo/HP_0000764>	"Peripheral axonal degeneration"	<http://purl.obolibrary.org/obo/MP_0005405>	"axon degeneration"
<http://purl.obolibrary.org/obo/HP_0002508>	"Brainstem dysplasia"	<http://purl.obolibrary.org/obo/MP_0005277>	"abnormal brainstem morphology"
<http://purl.obolibrary.org/obo/HP_0002363>	"Abnormality of brainstem morphology"	<http://purl.obolibrary.org/obo/MP_0005277>	"abnormal brainstem morphology"
<http://purl.obolibrary.org/obo/HP_0001738>	"Exocrine pancreatic insufficiency"	<http://purl.obolibrary.org/obo/MP_0003335>	"exocrine pancreatic insufficiency"
<http://purl.obolibrary.org/obo/HP_0009730>	"Rhabdomyoma"	<http://purl.obolibrary.org/obo/MP_0010391>	"increased rhabdomyoma incidence"
<http://purl.obolibrary.org/obo/HP_0005407>	"Decreased number of CD4+ T cells"	<http://purl.obolibrary.org/obo/MP_0002432>	"abnormal CD4-positive, alpha beta T cell morphology"
<http://purl.obolibrary.org/obo/HP_0012571>	"Ureter fissus"	<http://purl.obolibrary.org/obo/MP_0003584>	"bifid ureter"
<http://purl.obolibrary.org/obo/HP_0030037>	"Bifid ureter"	<http://purl.obolibrary.org/obo/MP_0003584>	"bifid ureter"
<http://purl.obolibrary.org/obo/MP_0003951>	"abnormal copper homeostasis"	<http://purl.obolibrary.org/obo/MP_0003952>	"abnormal copper level"
<http://purl.obolibrary.org/obo/HP_0010836>	"Abnormality of copper homeostasis"	<http://purl.obolibrary.org/obo/MP_0003952>	"abnormal copper level"
<http://purl.obolibrary.org/obo/HP_0000939>	"Osteoporosis"	<http://purl.obolibrary.org/obo/MP_0000066>	"osteoporosis"
<http://purl.obolibrary.org/obo/HP_0002031>	"Abnormality of the esophagus"	<http://purl.obolibrary.org/obo/MP_0000467>	"abnormal esophagus morphology"
<http://purl.obolibrary.org/obo/HP_0003076>	"Glycosuria"	<http://purl.obolibrary.org/obo/MP_0001759>	"increased urine glucose level"
<http://purl.obolibrary.org/obo/HP_0003189>	"Long nose"	<http://purl.obolibrary.org/obo/MP_0000446>	"long snout"
<http://purl.obolibrary.org/obo/HP_0000538>	"Pseudopapilledema"	<http://purl.obolibrary.org/obo/HP_0001085>	"Papilledema"
<http://purl.obolibrary.org/obo/HP_0001156>	"Brachydactyly syndrome"	<http://purl.obolibrary.org/obo/HP_0011927>	"Short digit"
<http://purl.obolibrary.org/obo/HP_0002884>	"Hepatoblastoma"	<http://purl.obolibrary.org/obo/MP_0010054>	"increased hepatoblastoma incidence"
<http://purl.obolibrary.org/obo/HP_0001684>	"Secundum atrial septal defect"	<http://purl.obolibrary.org/obo/MP_0010405>	"ostium secundum atrial septal defect"
<http://purl.obolibrary.org/obo/HP_0003218>	"Oroticaciduria"	<http://purl.obolibrary.org/obo/MP_0011765>	"oroticaciduria"
<http://purl.obolibrary.org/obo/HP_0002198>	"Dilated fourth ventricle"	<http://purl.obolibrary.org/obo/MP_0000829>	"dilated fourth ventricle"
<http://purl.obolibrary.org/obo/HP_0100245>	"Desmoid tumors"	<http://purl.obolibrary.org/obo/MP_0010338>	"increased desmoid tumor incidence"
<http://purl.obolibrary.org/obo/HP_0001972>	"Macrocytic anemia"	<http://purl.obolibrary.org/obo/MP_0002811>	"macrocytic anemia"
<http://purl.obolibrary.org/obo/HP_0005303>	"Aortic arch calcification"	<http://purl.obolibrary.org/obo/MP_0010524>	"calcified aortic arch"
<http://purl.obolibrary.org/obo/HP_0011801>	"Enlargement of parotid gland"	<http://purl.obolibrary.org/obo/MP_0009531>	"increased parotid gland size"
<http://purl.obolibrary.org/obo/HP_0100547>	"Abnormality of forebrain morphology"	<http://purl.obolibrary.org/obo/MP_0000783>	"abnormal forebrain morphology"
<http://purl.obolibrary.org/obo/HP_0002418>	"Abnormality of midbrain morphology"	<http://purl.obolibrary.org/obo/MP_0000897>	"abnormal midbrain morphology"
<http://purl.obolibrary.org/obo/HP_0002840>	"Lymphadenitis"	<http://purl.obolibrary.org/obo/MP_0003865>	"lymph node inflammation"
<http://purl.obolibrary.org/obo/HP_0000816>	"Abnormality of Krebs cycle metabolism"	<http://purl.obolibrary.org/obo/MP_0010958>	"abnormal tricarboxylic acid cycle"
<http://purl.obolibrary.org/obo/HP_0011473>	"Villous atrophy"	<http://purl.obolibrary.org/obo/MP_0014078>	"small intestinal villus atrophy"
<http://purl.obolibrary.org/obo/HP_0000992>	"Cutaneous photosensitivity"	<http://purl.obolibrary.org/obo/MP_0001202>	"skin photosensitivity"
<http://purl.obolibrary.org/obo/HP_0000421>	"Epistaxis"	<http://purl.obolibrary.org/obo/MP_0013127>	"epistaxis"
<http://purl.obolibrary.org/obo/HP_0030434>	"Pilomatrixoma"	<http://purl.obolibrary.org/obo/MP_0002013>	"increased pilomatricoma incidence"
<http://purl.obolibrary.org/obo/HP_0000855>	"Insulin resistance"	<http://purl.obolibrary.org/obo/MP_0005331>	"insulin resistance"
<http://purl.obolibrary.org/obo/HP_0001875>	"Neutropenia"	<http://purl.obolibrary.org/obo/MP_0000222>	"decreased neutrophil cell number"
<http://purl.obolibrary.org/obo/HP_0001541>	"Ascites"	<http://purl.obolibrary.org/obo/MP_0005324>	"ascites"
