SYMP:0000001	abdominal cramp
SYMP:0000229	bloody stool
SYMP:0000230	body ache
SYMP:0000233	inability to think clearly
SYMP:0000235	colic
SYMP:0000236	colicky pain
SYMP:0000238	continuous profuse salivation
SYMP:0000239	cornea symptom
SYMP:0000242	cough with bloody sputum
SYMP:0000244	alteration of appetite
SYMP:0000245	decreased appetite
SYMP:0000246	increased appetite
SYMP:0000247	proprioception symptom
SYMP:0000248	decreased conscious proprioception
SYMP:0000249	reflex symptom
SYMP:0000250	decreased flexor withdrawal reflex
SYMP:0000251	dermal abscess
SYMP:0000252	diffuse rash
SYMP:0000254	dilated pupil
SYMP:0000255	diminished gastro-intestinal motility
SYMP:0000256	diminished gag reflex
SYMP:0000257	absent gag reflex
SYMP:0000259	dry hacking cough
SYMP:0000261	dry mucous membrane
SYMP:0000264	epididymorchitis
SYMP:0000269	epileptic seizure
SYMP:0000273	clonic seizure
SYMP:0000274	tonic seizure
SYMP:0000278	extensive ulcer
SYMP:0000279	extreme exhaustion
SYMP:0000280	extreme fatigue
SYMP:0000281	eye discharge
SYMP:0000282	fixed dilated pupils
SYMP:0000284	fixed pupil
SYMP:0000285	flaccid paralysis
SYMP:0000286	floppy head
SYMP:0000288	fluctuation of heart rate
SYMP:0000289	eczema
SYMP:0000290	belching
SYMP:0000291	gas pain
SYMP:0000294	hemolysis
SYMP:0000296	hepatic dysfunction
SYMP:0000297	hilar lymphadenitis
SYMP:0000299	hyperemia
SYMP:0000301	hypopyon
SYMP:0000304	impaired coordination
SYMP:0000305	impaired gag reflex
SYMP:0000306	inability to feed
SYMP:0000307	inibility to stand
SYMP:0000308	inability to swallow
SYMP:0000309	loss of appetite
SYMP:0000310	inflamed eyes
SYMP:0000311	intestinal hypermotility
SYMP:0000312	joint symptom
SYMP:0000313	joint inflammation
SYMP:0000315	lateroventral deviation of the head
SYMP:0000316	leg cramp
SYMP:0000318	loss of balance
SYMP:0000319	loss of tendon reflex
SYMP:0000320	vision symptom
SYMP:0000323	melena
SYMP:0000325	mild bronchitis
SYMP:0000326	mild hypotension
SYMP:0000327	tetanic convulsion
SYMP:0000328	mild tetanic convulsion
SYMP:0000329	motor weakness
SYMP:0000331	muscles ache
SYMP:0000332	muscle soreness
SYMP:0000333	muscle tenderness
SYMP:0000334	muscle necrosis
SYMP:0000335	neck weakness
SYMP:0000336	neurological dysfunction
SYMP:0000339	occasional diplopia
SYMP:0000340	limb edema
SYMP:0000343	painful lymph glands
SYMP:0000345	panting respiration
SYMP:0000346	papule
SYMP:0000347	lip paralysis
SYMP:0000348	throat muscle paralysis
SYMP:0000350	parotid abscess
SYMP:0000352	peripheral muscle weakness
SYMP:0000353	phlegm
SYMP:0000354	pneumonitis
SYMP:0000356	phlebitis
SYMP:0000357	postphlebitic ulcer
SYMP:0000358	premature labor
SYMP:0000359	profound weakness
SYMP:0000360	emaciation
SYMP:0000361	progressive emaciation
SYMP:0000362	progressive prostration
SYMP:0000363	progressive weakness
SYMP:0000364	prostate symptom
SYMP:0000365	prostatic abscess
SYMP:0000366	prostatic infection
SYMP:0000368	proximal paralysis of arm and leg
SYMP:0000369	ptosis
SYMP:0000370	renal abscess
SYMP:0000372	runny nose
SYMP:0000373	salivation
SYMP:0000374	scrotal abscess
SYMP:0000375	severe abdominal cramp
SYMP:0000376	severe diarrhea
SYMP:0000377	mastitis
SYMP:0000378	severe mastitis
SYMP:0000379	severe myalgia
SYMP:0000380	severe pneumonia
SYMP:0000381	spleen abscess
SYMP:0000382	staggering gait
SYMP:0000384	neck symptom
SYMP:0000385	throat symptom
SYMP:0000386	mouth symptom
SYMP:0000387	head symptom
SYMP:0000388	nose symptom
SYMP:0000389	stupor
SYMP:0000390	thyroid symptom
SYMP:0000391	thyroid abscesses
SYMP:0000392	ear symptom
SYMP:0000397	unreactive mydriasis
SYMP:0000398	vaginal discharge
SYMP:0000399	vertigo
SYMP:0000401	wobble
SYMP:0000406	bruise
SYMP:0000407	syncope
SYMP:0000410	neurological and physiological symptom
SYMP:0000411	infant symptom
SYMP:0000412	anxiety
SYMP:0000413	catatonia
SYMP:0000416	amaurosis
SYMP:0000417	pupil symptom
SYMP:0000418	contracted pupil
SYMP:0000419	miosis
SYMP:0000420	bloating
SYMP:0000422	dyspepsia
SYMP:0000423	pyrosis
SYMP:0000424	claudication
SYMP:0000426	macrocytosis
SYMP:0000429	bradypnea
SYMP:0000430	pleuritic chest pain
SYMP:0000431	sputum
SYMP:0000436	abnormal vaginal bleeding
SYMP:0000437	earache
SYMP:0000438	toothache
SYMP:0000444	nail discoloration
SYMP:0000445	faint
SYMP:0000446	bloodshot eye
SYMP:0000447	bloody sputum
SYMP:0000450	shock
SYMP:0000451	septic shock
SYMP:0000452	abnormal sputum
SYMP:0000453	right upper quadrant abdominal rigidity
SYMP:0000454	abdominal rigidity
SYMP:0000455	abnormal weight gain
SYMP:0000456	left upper quadrant abdominal pain
SYMP:0000458	nausea
SYMP:0000459	digestive system symptom
SYMP:0000462	symptom
SYMP:0000463	lack of normal physiological development
SYMP:0000464	lack of expected normal physiological development in childhood
SYMP:0000467	right lower quadrant abdominal rigidity
SYMP:0000468	generalized abdominal rigidity
SYMP:0000469	epigastric abdominal rigidity
SYMP:0000470	left upper quadrant abdominal rigidity
SYMP:0000471	multiple sites abdominal rigidity
SYMP:0000472	early satiety
SYMP:0000473	nutrition, metabolism, and development symptom
SYMP:0000474	abnormal loss of weight and underweight
SYMP:0000475	underweight
SYMP:0000477	epigastric abdominal swelling
SYMP:0000478	abdominal swelling
SYMP:0000480	nervous system symptom
SYMP:0000481	persistent vegetative state
SYMP:0000482	alteration of consciousness
SYMP:0000483	left lower quadrant abdominal tenderness
SYMP:0000484	abdominal tenderness
SYMP:0000485	dysuria
SYMP:0000486	urinary system symptom
SYMP:0000488	skin and integumentary tissue symptom
SYMP:0000490	multiple sites abdominal tenderness
SYMP:0000491	continuous leakage of urine
SYMP:0000494	renal colic
SYMP:0000495	urethral discharge
SYMP:0000496	epigastric abdominal tenderness
SYMP:0000497	periumbilic abdominal tenderness
SYMP:0000498	generalized abdominal tenderness
SYMP:0000499	right upper quadrant abdominal tenderness
SYMP:0000500	right lower quadrant abdominal tenderness
SYMP:0000501	left lower quadrant abdominal swelling
SYMP:0000502	mixed incontinence (female) (male)
SYMP:0000503	adult failure to thrive
SYMP:0000505	throat pain
SYMP:0000506	hemorrhage from throat
SYMP:0000507	head swelling
SYMP:0000508	aphasia
SYMP:0000509	flatulence
SYMP:0000512	male stress incontinence
SYMP:0000513	stridor
SYMP:0000514	respiratory system and chest symptom
SYMP:0000515	hiccough
SYMP:0000516	lump in chest
SYMP:0000518	generalized abdominal pain
SYMP:0000519	abnormal feces
SYMP:0000520	visible peristalsis
SYMP:0000522	feeding difficulties and mismanagement
SYMP:0000525	transient alteration of awareness
SYMP:0000526	ascites
SYMP:0000527	undiagnosed cardiac murmur
SYMP:0000528	cardiovascular system symptom
SYMP:0000532	urge incontinence
SYMP:0000533	post-void dribbling
SYMP:0000534	spontaneous ecchymoses
SYMP:0000535	change in skin texture
SYMP:0000536	disturbance of skin sensation
SYMP:0000538	edema
SYMP:0000540	painful respiration
SYMP:0000541	periumbilic abdominal swelling
SYMP:0000542	epigastric abdominal pain
SYMP:0000543	memory loss
SYMP:0000544	transient paralysis of limb
SYMP:0000545	multiple sites abdominal swelling
SYMP:0000546	right lower quadrant abdominal pain
SYMP:0000547	right upper quadrant abdominal pain
SYMP:0000548	right lower quadrant abdominal swelling
SYMP:0000549	generalized abdominal swelling
SYMP:0000551	disturbances of sensation of smell and taste
SYMP:0000552	meningismus
SYMP:0000553	neurologic neglect syndrome
SYMP:0000554	left lower quadrant abdominal rigidity
SYMP:0000555	left upper quadrant abdominal swelling
SYMP:0000556	localized superficial lump
SYMP:0000558	incomplete bladder emptying
SYMP:0000559	voice disturbance
SYMP:0000561	multiple sites abdominal pain
SYMP:0000562	right upper quadrant abdominal swelling
SYMP:0000563	urinary frequency
SYMP:0000567	general symptom
SYMP:0000572	splitting of urinary stream
SYMP:0000573	urinary stream symptom
SYMP:0000574	aphonia
SYMP:0000575	precordial pain
SYMP:0000577	fussy infant
SYMP:0000578	incontinence without sensory awareness
SYMP:0000579	insomnia with sleep apnea
SYMP:0000580	dysfunctions associated with sleep stages
SYMP:0000583	hypersomnia with sleep apnea
SYMP:0000584	disruptions of 24-hour sleep-wake cycle
SYMP:0000585	sleep related movement disorder
SYMP:0000586	overflow incontinence
SYMP:0000587	abnormal chest sound
SYMP:0000588	extravasation of urine
SYMP:0000589	slowing of urinary stream
SYMP:0000590	urgency of urination
SYMP:0000591	left upper quadrant abdominal tenderness
SYMP:0000592	excessive crying of infant
SYMP:0000594	abnormal involuntary movement
SYMP:0000596	convulsion
SYMP:0000597	head and neck symptom
SYMP:0000600	apnea
SYMP:0000605	coma
SYMP:0000608	syncope and collapse
SYMP:0000609	generalized hyperhidrosis
SYMP:0000611	periumbilic abdominal pain
SYMP:0000612	periumbilic abdominal rigidity
SYMP:0000613	fever
SYMP:0000615	lack of coordination
SYMP:0000616	loss of height
SYMP:0000619	tetany
SYMP:0000620	left lower quadrant abdominal pain
SYMP:0000621	alexia
SYMP:0000622	acute mesenteric lymphadenitis
SYMP:0000624	appendicitis
SYMP:0000625	conscious disturbance
SYMP:0000627	disturbed vision
SYMP:0000628	vision distortion
SYMP:0000629	exanthema
SYMP:0000630	frontal headache
SYMP:0000633	inflammatory low back pain
SYMP:0000636	maculopapular rash
SYMP:0000638	papular rash
SYMP:0000639	rectorrhagia
SYMP:0000640	ankle rash
SYMP:0000641	renal involvement
SYMP:0000644	ruffled feather
SYMP:0000647	tache noire
SYMP:0000649	terminal ileitis
SYMP:0000650	thick white exudate on tongue
SYMP:0000651	discharge
SYMP:0000652	wound discharge
SYMP:0000653	yellow dropping
SYMP:0000655	mouth bleeding
SYMP:0000656	pale mucous membrane
SYMP:0000657	ischemic necrosis of jejunum
SYMP:0000659	pareses
SYMP:0000660	purpuric rash
SYMP:0000661	recumbency
SYMP:0000662	shakes
SYMP:0000663	uncoordinated gait
SYMP:0000664	yellow exudate from nose
SYMP:0000665	yellow exudate from eyes
SYMP:0000667	heart rhythm symptom
SYMP:0000668	abnormal heart rhythms
SYMP:0000669	abnormal hemistanding
SYMP:0000670	abnormal hemiwalking
SYMP:0000671	sudden onset of fever
SYMP:0000672	abscess
SYMP:0000674	acute cranial nerve dysfunction
SYMP:0000675	acute diarrhea
SYMP:0000676	acute enteritis
SYMP:0000677	acute gastroenteritis
SYMP:0000678	acute mental dysfunction
SYMP:0000679	acute dyspnea
SYMP:0000680	acute weight loss
SYMP:0000682	altered mental status
SYMP:0000683	tachypnoea
SYMP:0000684	bifrontal headache
SYMP:0000685	brain cyst
SYMP:0000686	chronic cough
SYMP:0000687	chronic fatigue syndrome
SYMP:0000688	circling movement
SYMP:0000689	cramp
SYMP:0000691	cytopenia
SYMP:0000692	low blood pressure
SYMP:0000693	decreased facial sensation
SYMP:0000694	decreased jaw tone
SYMP:0000695	decreased milk production
SYMP:0000696	decreased motor response
SYMP:0000697	decreased pharyngeal tone
SYMP:0000698	decreased sucking
SYMP:0000699	deltoid muscle weakness
SYMP:0000700	diminished spontaneous movement
SYMP:0000701	nasal discharge
SYMP:0000702	distended loops of intestines on rectal
SYMP:0000703	droopy ears
SYMP:0000707	flaccid muscle tone
SYMP:0000709	granulomatous inflammation
SYMP:0000710	head pressing
SYMP:0000711	hind limb paralysis
SYMP:0000713	inability to lie flat
SYMP:0000714	intraretinal hemorrhage
SYMP:0000715	skin desquamation
SYMP:0000716	swelling symptom
SYMP:0000717	leg swelling
SYMP:0000721	moderate anemia
SYMP:0000722	moderate conjuctival injection
SYMP:0000723	multiple abscesses
SYMP:0000724	multiple organ failure
SYMP:0000725	necrosis of jejunum
SYMP:0000726	painful reginal lymphadenopathy
SYMP:0000727	palate weakness
SYMP:0000728	partial hind limb paralysis
SYMP:0000729	pulmonary consolidation
SYMP:0000730	rapid respiration
SYMP:0000732	sudden ataxis
SYMP:0000733	sternocleidomastoid weakness
SYMP:0000735	suppurative pneumonia
SYMP:0000736	lymph gland swelling
SYMP:0000737	respiratory tract mucosa ulcer
SYMP:0000738	yellowish green diarrhea
SYMP:0000739	bronchopulmonary bleeding
SYMP:0000740	genitourinary hemorrhage
SYMP:0000741	nasal bleeding
SYMP:0000743	blotchy red rash
SYMP:0000744	cervical lymphadenopathy
SYMP:0000745	change in body sensation
SYMP:0000746	enanthem
SYMP:0000747	extreme prostration
SYMP:0000749	hemodynamic instability
SYMP:0000750	hemorrhage into mucous membrane
SYMP:0000751	hemorrhage into skin
SYMP:0000752	herpetic lesion on upper lip
SYMP:0000753	intense anxiety
SYMP:0000754	severe chest pain
SYMP:0000755	intense toxemia
SYMP:0000757	mild conjunctivitis
SYMP:0000758	neurological alteration
SYMP:0000759	parotid pain
SYMP:0000761	extracellular fluid alteration
SYMP:0000762	excess lymphocytes in cerebrospinal fluid
SYMP:0000763	renal alteration
SYMP:0000764	retrobulbar pain
SYMP:0000765	sensory disturbance
SYMP:0000766	slow pulse
SYMP:0000767	subconjunctival bleeding
SYMP:0000768	testicular pain
SYMP:0000769	vascular alteration
SYMP:0000770	pelvic symptom
SYMP:0000771	pelvic swelling
SYMP:0000772	pelvic mass
SYMP:0000773	pelvic lump
SYMP:0000774	generalized pelvic lump
SYMP:0000775	right lower quadrant pelvic lump
SYMP:0000776	epigastric pelvic lump
SYMP:0000777	left lower quadrant pelvic lump
SYMP:0000778	left upper quadrant pelvic lump
SYMP:0000779	right upper quadrant pelvic lump
SYMP:0000780	multiple sites pelvic lump
SYMP:0000781	periumbilic pelvic lump
SYMP:0000782	right upper quadrant pelvic mass
SYMP:0000783	left lower quadrant pelvic mass
SYMP:0000784	epigastric pelvic mass
SYMP:0000785	left upper quadrant pelvic mass
SYMP:0000786	generalized pelvic mass
SYMP:0000787	periumbilic pelvic mass
SYMP:0000788	multiple sites pelvic mass
SYMP:0000789	right lower quadrant pelvic mass
SYMP:0000790	multiple sites pelvic swelling
SYMP:0000791	generalized pelvic swelling
SYMP:0000792	epigastric pelvic swelling
SYMP:0000793	left lower quadrant pelvic swelling
SYMP:0000794	left upper quadrant pelvic swelling
SYMP:0000795	periumbilic pelvic swelling
SYMP:0000796	right lower quadrant pelvic swelling
SYMP:0000797	right upper quadrant pelvic swelling
SYMP:0000798	abdominal mass
SYMP:0000799	abdominal lump
SYMP:0000800	left upper quadrant abdominal mass
SYMP:0000801	left lower quadrant abdominal mass
SYMP:0000802	epigastric abdominal mass
SYMP:0000803	multiple sites abdominal mass
SYMP:0000804	generalized abdominal mass
SYMP:0000805	periumbilic abdominal mass
SYMP:0000806	right lower quadrant abdominal mass
SYMP:0000807	right upper quadrant abdominal mass
SYMP:0000808	multiple sites abdominal lump
SYMP:0000809	periumbilic abdominal lump
SYMP:0000810	epigastric abdominal lump
SYMP:0000811	left upper quadrant abdominal lump
SYMP:0000812	right lower quadrant abdominal lump
SYMP:0000813	right upper quadrant abdominal lump
SYMP:0000814	generalized abdominal lump
SYMP:0000815	left lower quadrant abdominal lump
SYMP:0000816	dysfunctions associated with arousal from sleep
SYMP:0000817	inability to concentrate
SYMP:0000818	localized superficial mass
SYMP:0000819	localized superficial swelling
SYMP:0000820	mass in chest
SYMP:0000821	swelling in chest
SYMP:0000822	chronic enteritis
SYMP:0000824	junctional tachycardia
SYMP:0000828	sore eyes
SYMP:0000830	phantom pain
SYMP:0000831	nociceptive pain
SYMP:0000832	neuropathic pain
SYMP:0000833	visceral pain
SYMP:0000835	hypoalgesia
SYMP:0000836	hyperalgesia
SYMP:0000838	breakthrough pain
SYMP:0000839	acute pain
SYMP:0000841	reactive hyperemia
SYMP:0000842	active hyperemia
SYMP:0000843	functional hyperemia
SYMP:0000844	face hyperemia
SYMP:0000845	hyperemia of the neck
SYMP:0000846	chest hyperemia
SYMP:0000847	spastic paralysis
SYMP:0000848	motor paralysis
SYMP:0000850	congested sclera
SYMP:0000852	anuria
SYMP:0000853	stress incontinence
SYMP:0000854	hypermenorrhea
SYMP:0000856	subjective vertigo
SYMP:0000857	objective vertigo
SYMP:0000859	rigidity hypokinesia
SYMP:0000860	postural instability hypokinesia
SYMP:0000861	freezing hypokinesia
SYMP:0000862	referred pain
SYMP:0000863	facial tremor
SYMP:0000864	lesions in oropharynx
SYMP:0000865	lesions in mouth
SYMP:0000866	cervical edema
SYMP:0000868	breathing problems
SYMP:0000870	icteric eyes
SYMP:0000871	icteric mucous membrane
SYMP:0000872	icteric skin
SYMP:0000873	otitis
SYMP:0000874	hematoma
SYMP:0000875	lameness
SYMP:0000877	decreased tongue tone
SYMP:0000878	transient fever
SYMP:0000880	prolonged fever
SYMP:0000881	mild fever
SYMP:0000882	high fever
SYMP:0000883	very high fever
SYMP:0000886	hyperpyrexia
SYMP:0000887	Pel-Epstein fever
SYMP:0000888	continuous fever
SYMP:0000889	remittent fever
SYMP:0000890	relapsing fever
SYMP:0000891	musculoskeletal system symptom
SYMP:0000892	sensation perception
SYMP:0000894	cold clammy skin
SYMP:0017795	hemic and immune system symptom
SYMP:0019138	immune system symptom
SYMP:0019139	hemic system symptom
SYMP:0019140	hematopoietic system symptom
SYMP:0019141	lymphatic system symptom
SYMP:0019144	microangiopathy
SYMP:0019148	septicemia
SYMP:0019149	toxemia
SYMP:0019150	pharyngitis
SYMP:0019154	hemorrhagic mediastinitis
SYMP:0019156	hematogenous
SYMP:0019158	eschar
SYMP:0019159	gastroenteritis
SYMP:0019160	boil
SYMP:0019162	muscle tightness
SYMP:0019163	eye symptom
SYMP:0019164	excessive tearing
SYMP:0019165	light sensitivity
SYMP:0019167	pustule
SYMP:0019171	spondylitis
SYMP:0019172	ocular lesion
SYMP:0019174	chills
SYMP:0019175	sweaty
SYMP:0019176	malaise
SYMP:0019177	fatigue
SYMP:0019178	necrotic lesion
SYMP:0019179	lightheadedness
SYMP:0019181	hoarseness
